S.No.,Discom,Zone,Circle,Division,33KV-AboveConsumerFeeder,FeederCode,Category,SupplyArea,ProjectArea,FeederVoltage,Meter-MakeType,Meter-SlNo,OverallMF,Status
1,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD VII NOIDA,33 KV FDR-2 BHARTI AIRTEL_10304FDB,10304FDB,TAPPED(WITH OTHER CONSUMER FEEDER),DISTRICT HQ,URBAN,11,SECURE,UPP68982,120,Active
2,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD IX GHAZIABAD,33 KV SMV_10324SMV,10324SMV,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UP4560A,120,Active
3,PASCHIMANCHAL,NOIDA,EUDC II NOIDA,EUDD GREATER NOIDA,220 KV JP SPORTS_18595JPS,18595JPS,INDEPENDENT,OTHERS,URBAN,220,SECURE,UP3066A,1,Active
4,PASCHIMANCHAL,NOIDA,EUDC II NOIDA,EUDD GREATER NOIDA,220 KV VIVO_18594VIV,18594VIV,INDEPENDENT,OTHERS,URBAN,220,SECURE,Q0778701,1,Active
5,PASCHIMANCHAL,NOIDA,EUDC II NOIDA,EUDD GREATER NOIDA,33 KV ATS REALITY_18593ATS,18593ATS,INDEPENDENT,OTHERS,URBAN,33,SECURE,X094218,1,Active
6,PASCHIMANCHAL,NOIDA,EUDC II NOIDA,EUDD GREATER NOIDA,33 KV BIKANER_18592BKR,18592BKR,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1715204,1,Active
7,PASCHIMANCHAL,NOIDA,EUDC II NOIDA,EUDD GREATER NOIDA,33 KV SURYA GLOBAL_18592SRG,18592SRG,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1715215,1,Active
8,POORVANCHAL,PRAYAGRAJ-I,EUDC I PRAYAGRAJ,EUDD NAINI,33 KV ITI_41050ITI,41050ITI,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,XB462213,2,Active
9,KESCO,KESCO,CIRCLE III,JAJMAU,33 KV J K COTTON,51333310061H64,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X1002844,0.2,Active
10,MADHYANCHAL,BAREILLY-II,EDC SHAHJAHANPUR,EDD II SHAJAHANPUR,33 KV MES_36204MES,36204MES,INDEPENDENT,OTHERS,URBAN,33,SECURE,Q0434799,0.05,Active
11,MADHYANCHAL,SITAPUR,EDC GOLA,EDD GOLA,33 KV RNG_32022RNG,32022RNG,INDEPENDENT,OTHERS,RURAL,33,SECURE,UP5341A,30,Active
