S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
1,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,40 MVA TRANSFORMER 1,UP0025A,T-D,July,2024,0,7143.12,,,,
2,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,40 MVA TRANSFORMER 2,UP1756A,T-D,July,2024,0,7470.96,,,,
3,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,40 MVA TRANSFORMER 3,UPGE4336A,T-D,July,2024,0,7140.07,,,,
4,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 NANPARA TEHSEEL,X1215254,T-D,July,2024,0,870.8,NANPARA_30065,6752.14,EDD NANPARA,MADHYANCHAL
5,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV BABAGANJ,X1215175,T-D,July,2024,0,0,BEHDA_354922,990.06,EDD NANPARA,MADHYANCHAL
,,,,,,,,,,,,SAHABA BABAGANJ_34235,3269.21,EDD NANPARA,MADHYANCHAL
7,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV MOTIPUR,X1215251,T-D,July,2024,0,4251.2,MOTIPUR_354922,4251.17,EDD NANPARA,MADHYANCHAL
8,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV JACK BUS,7008019,T-D,July,2024,0,6170.4,,,,
9,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV RAIBOJHA,X1215226,T-D,July,2024,0,0,RAIBOJHA_354922,1846.1,EDD NANPARA,MADHYANCHAL
10,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV MATERA,7008035,T-D,July,2024,0,11.6,KATILIYA CHAURAHA_354922,751,EDD NANPARA,MADHYANCHAL
,,,,,,,,,,,,MATERA_354922,2282.16,EDD NANPARA,MADHYANCHAL
