S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
1,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S RAJAPUR,33 KV SIRAVAL FDR,X1236415,T-D,July,2024,0,90.75,,,,
2,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S RAJAPUR,33 KV GANEEVA FDR,X1236419,T-D,July,2024,0,0,,,,
3,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S RAJAPUR,33 KV Sardhuwa,X1236423,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
11,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S RAJAPUR,33 KV Rajapur,X1236421,T-D,July,2024,0,4210,,,,
12,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S RAJAPUR,33 KV TBC BAY,X1236417,T-D,July,2024,0,0,,,,
13,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV MAU FDR,X0332031,T-D,July,2024,0,5447.15,MAU_24663,5447.15,EDD II CHITRAKOOT,DAKSHINANCHAL
14,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV CHHIBO FDR,X0332030,T-D,July,2024,0,0.96,CHHIBO_24435,1227.73,EDD II CHITRAKOOT,DAKSHINANCHAL
15,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV RAMNAGAR FDR,X0332058,T-D,July,2024,0,0,NEW RAMNAGAR_24722,1374.42,EDD II CHITRAKOOT,DAKSHINANCHAL
,,,,,,,,,,,,NEW RAMNAGAR_24722,1374.42,EDD II CHITRAKOOT,DAKSHINANCHAL
17,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV KATIYA MAU FDR,X0332054,T-D,July,2024,0,250.05,KATIYA PAY JAL YOJANA_24582,250.05,EDD II CHITRAKOOT,DAKSHINANCHAL
18,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV TBC FEEDER,X0332029,T-D,July,2024,0,0,,,,
19,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV SPARE FEEDER 5,X0332058,T-D,July,2024,0,0,,,,
20,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,33 KV SPARE FEEDER 4,X0332033,T-D,July,2024,0,1227.73,,,,
21,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV SIRAVAL FEEDER,7008014,T-D,July,2024,0,4209.8,GANGAJI ROAD_20165,4209.8,EDD I CHITRAKOOT,DAKSHINANCHAL
22,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV KASHAI FEEDER,11134457,T-D,July,2024,0,2730.8,KASHAI_24580,2730.8,EDD I CHITRAKOOT,DAKSHINANCHAL
23,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV GANIVA FEEDER,7008024,T-D,July,2024,0,1394.6,GANIVA_24483,1559.85,EDD II CHITRAKOOT,DAKSHINANCHAL
24,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV CHILLIMAL FEEDER,XC594818,T-D,July,2024,0,700.4,,,,
25,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV CHITRAKOOT FEEDER,XC594830,T-D,July,2024,0,4581.8,NEW COLLECTRATE_24720,253.54,EDD I CHITRAKOOT,DAKSHINANCHAL
,,,,,,,,,,,,RANIPUR BHATT_20047,4276.38,EDD I CHITRAKOOT,DAKSHINANCHAL
,,,,,,,,,,,,KHOHI PARIKRAMA MARG_24270,760.4,EDD I CHITRAKOOT,DAKSHINANCHAL
28,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV BHARATKOOP FEEDER,XC594817,T-D,July,2024,0,5117,BHARTKOOP_24385,3126.74,EDD I CHITRAKOOT,DAKSHINANCHAL
,,,,,,,,,,,,LUDHWARA_24271,1990.26,EDD I CHITRAKOOT,DAKSHINANCHAL
30,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV DHUSHMAIDAN FEEDER,UPP40607,T-D,July,2024,0,4562.9,DHUS MAIDAN_20045,4562.9,EDD I CHITRAKOOT,DAKSHINANCHAL
31,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV KHOH FEEDER,UPP40697,T-D,July,2024,0,88.6,,,,
32,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV SARDHUA FEEDER,X0479548,T-D,July,2024,0,0.2,SARDHUWA_24838,1366.31,EDD II CHITRAKOOT,DAKSHINANCHAL
,,,,,,,,,,,,BHADEDOO_24375,1282.18,EDD II CHITRAKOOT,DAKSHINANCHAL
34,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV PAHADI FEEDER,X0479549,T-D,July,2024,0,3595,PAHADI_24740,3595,EDD II CHITRAKOOT,DAKSHINANCHAL
,,,,,,,,,,,,PAHADI_24740,3595,EDD II CHITRAKOOT,DAKSHINANCHAL
36,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV RAJAPUR FEEDER,X0479551,T-D,July,2024,0,0,RAJAPUR_22632,4210,EDD II CHITRAKOOT,DAKSHINANCHAL
37,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,33KV TRANSFER BUS COUPLER,UPP40701,T-D,July,2024,0,1037.2,,,,
