S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
1,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,TBC,Y0197639,T-D,July,2024,0,111.4,,,,
2,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,JONIHA,ABB04320,T-D,July,2024,0,1984,,,,
3,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,BAHUA,ABB04322,T-D,July,2024,0,6950,,,,
4,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,BINDKI RURAL,ABB04328,T-D,July,2024,0,5320,,,,
5,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,JAFARGANJ,ABB04330,T-D,July,2024,0,0,,,,
6,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,BINDKI TEHSEEL,ABB04339,T-D,July,2024,0,2991,,,,
7,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,40 MVA T/F-I,ASH05780,T-D,July,2024,0,9993.12,BAHUA_444131,5567.91,EDD I FATEHPUR,POORVANCHAL
,,,,,,,,,,,,BINDKI ROAD_444132,7221,EDD II FATEHPUR,POORVANCHAL
,,,,,,,,,,,,JUNIHA_444132,2077.8,EDD II FATEHPUR,POORVANCHAL
10,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,40 MVA T/F-II,ASH05782,T-D,July,2024,0,9919.92,BINDKI_444132,5320,EDD II FATEHPUR,POORVANCHAL
,,,,,,,,,,,,JAFERGANJ_444132,1910,EDD II FATEHPUR,POORVANCHAL
,,,,,,,,,,,,BINDKI TAHSIL_40159,3008.6,EDD II FATEHPUR,POORVANCHAL
13,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,33 KV SPARE BAY,Y0197557,T-D,July,2024,0,2643,,,,
14,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,20 MVA T/F-III,UP-9222A,T-D,July,2024,0,16.8,,,,
15,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV NAURANGA,X1186265,T-D,July,2024,0,2395.2,BHADWARA_24379,2395.2,EDD GHATAMPUR,DAKSHINANCHAL
16,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV AMAULI,X1186243,T-D,July,2024,0,3218,,,,
17,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV KALANA,X1186244,T-D,July,2024,0,522.4,,,,
18,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV BAKEWAR,UPP39492,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
20,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV JAHANABAD DEHAT,UPP39559,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
22,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV BABAI,UP070493,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
24,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,DAPSAURA PUMP CANAL,UPP39576,T-D,July,2024,0,0,,,,
,,,,,,,,,,,,,,,
