S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
1,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S BHEEMNAGARI,33 KV JACK BUS,7041855,T-D,July,2024,0,0,,,,
2,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S BHEEMNAGARI,33 KV JALMA,7041849,T-D,July,2024,0,5519.6,,,,
3,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S BHEEMNAGARI,33 KV VIBHAV NAGAR,7041846,T-D,July,2024,0,8241.4,,,,
4,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S BHEEMNAGARI,33 KV SHAHID NAGAR,7360721,T-D,July,2024,0,7042.8,,,,
5,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S BHEEMNAGARI,33 KV BAMROLI KATARA,7360712,T-D,July,2024,0,4269.2,,,,
6,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,33KV DHIMSHREE,KAU06336,T-D,July,2024,0,4942.4,MAZARA_24665,917,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,DHIMISHRI_24459,3610,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,NIBOHRA_24724,1562,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BEHADI_24369,1079,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,WAZIDPUR_24927,817,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAHARAJPUR_24935,1332,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,GUBROTH_24501,771,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BHADORA_24376,414,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,HIMAUPUR_24516,957,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MURAVAL_24681,809,EDD III AGRA,DAKSHINANCHAL
16,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,33KV ROOPPUR,KAU06328,T-D,July,2024,0,0,MAZARA_24665,917,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,ROOPPUR_24805,904,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,NIBOHRA_24724,1562,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BEHADI_24369,1079,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,WAZIDPUR_24927,817,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAHARAJPUR_24935,1332,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,GUBROTH_24501,771,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BHADORA_24376,414,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,HIMAUPUR_24516,957,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MURAVAL_24681,809,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAZARA_24665,917,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,ROOPPUR_24805,904,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,NIBOHRA_24724,1562,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BEHADI_24369,1079,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,WAZIDPUR_24927,817,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAHARAJPUR_24935,1332,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,GUBROTH_24501,771,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BHADORA_24376,414,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,HIMAUPUR_24516,957,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MURAVAL_24681,809,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAZARA_24665,917,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,ROOPPUR_24805,904,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,NIBOHRA_24724,1562,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BEHADI_24369,1079,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,WAZIDPUR_24927,817,EDD III AGRA,DAKSHINANCHAL
