S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
1,WEST,ETC Moradabad-I,ETD Rampur,220KV S/S RAMPUR,33 KV TBC 05,13192634,T-D,July,2024,0,0,,,,
2,WEST,ETC Moradabad-I,ETD Rampur,220KV S/S RAMPUR,DHAMORA- 01,13192575,T-D,July,2024,0,1413,DHAMORA_120543,1413,EDD MILAK,PASCHIMANCHAL
3,WEST,ETC Moradabad-I,ETD Rampur,220KV S/S RAMPUR,MILAK TEHSIL- 02,13192554,T-D,July,2024,0,3490,MILAK_11316,3490,EDD MILAK,PASCHIMANCHAL
4,WEST,ETC Moradabad-I,ETD Rampur,220KV S/S RAMPUR,DURGNAGLA - 03,13192573,T-D,July,2024,0,3806,DURG NAGLA_120543,3806,EDD MILAK,PASCHIMANCHAL
5,WEST,ETC Moradabad-I,ETD Rampur,220KV S/S RAMPUR,PIPLA SHIVNAGAR- 04,13192640,T-D,July,2024,0,2847,PIPLA SHIV NAGAR_120543,2847,EDD MILAK,PASCHIMANCHAL
6,WEST,ETC Moradabad-I,ETD Rampur,220KV S/S RAMPUR,SIHARI -06,13192566,T-D,July,2024,0,1132,SIYARI_120543,1132,EDD MILAK,PASCHIMANCHAL
7,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 01(BEGMABAD),7253166,T-D,July,2024,0,0,BEGAMABAD_120544,3309,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,BEGAMABAD_120544,3309,EDD BILASPUR,PASCHIMANCHAL
9,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 02(DIBDIBA),UPP40075,T-D,July,2024,0,0,DIBDIBA_120544,4107,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,DIBDIBA_120544,4107,EDD BILASPUR,PASCHIMANCHAL
11,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 03(ASHOK NAGAR),7253141,T-D,July,2024,0,0,ASHOK NAGAR_120544,3630,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,ASHOK NAGAR_120544,3630,EDD BILASPUR,PASCHIMANCHAL
13,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 04(GPL),13193482,T-D,July,2024,0,2233.14,,,,
14,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 05(TBC),X0372742,T-D,July,2024,0,34.4,,,,
15,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 06(BILASPUR TEHSIL),7041847,T-D,July,2024,0,2948.6,BILASPUR_10136,2949,EDD BILASPUR,PASCHIMANCHAL
16,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 07(KEMRI),UPC89437,T-D,July,2024,0,0,KEMRI_120544,5796,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,KEMRI_120544,5796,EDD BILASPUR,PASCHIMANCHAL
18,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 08(GODHI),UPC89461,T-D,July,2024,0,0,GODHI_120544,1736,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,GODHI_120544,1736,EDD BILASPUR,PASCHIMANCHAL
20,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 09 (GESL),8036392,T-D,July,2024,0,3661.2,,,,
21,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 10 (BILASPUR RURAL),X0372792,T-D,July,2024,0,3431.2,KUA KHEDA_120544,2451,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,NEW BILASPUR_15083,1731,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,ANWARIA_11514,980,EDD BILASPUR,PASCHIMANCHAL
24,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 11 (CHADDHA PAPER MILL),9142954,T-D,July,2024,0,1699.42,,,,
25,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 12 (RUDRAPUR BORDER),X0372812,T-D,July,2024,0,3188.4,RUDRAPUR BORDER_120544,1457,EDD BILASPUR,PASCHIMANCHAL
26,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 13 (GOVINDPURA),UPP40021,T-D,July,2024,0,0,GOVINDPURA_120544,2110,EDD BILASPUR,PASCHIMANCHAL
,,,,,,,,,,,,GOVINDPURA_120544,2110,EDD BILASPUR,PASCHIMANCHAL
28,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S BILASPUR,33 KV FDR No.- 14 (AL-SAMEER),9142949,T-D,July,2024,0,0,,,,
29,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV RAZA INTER COLLEGE,CB-1",X0372789,T-D,July,2024,0,3238.4,RAZA INTER COLLEGE_10115,3238,EDD I RAMPUR,PASCHIMANCHAL
