Sr.No.,Zone,Circle,Division,Substation,DistrictName
155,NORTH-EAST,ETC Azamgarh,400 kV S/S Div Azamgarh,400KV S/S AZAMGARH,Azamgarh
156,NORTH-EAST,ETC Azamgarh,400 kV S/S Div Azamgarh,220 KV S/S Azamgarh,Azamgarh
157,NORTH-EAST,ETC Azamgarh,ETD Azamgarh,220KV S/S AZAMGARH,Azamgarh
158,NORTH-EAST,ETC Azamgarh,ETD Azamgarh,220KV S/S AZAMGARH-II,Azamgarh
159,NORTH-EAST,ETC Azamgarh,ETD Azamgarh,132KV S/S ATRAULIA,Azamgarh
160,NORTH-EAST,ETC Azamgarh,ETD Azamgarh,132KV S/S SIDHARI AZAMGARH,Azamgarh
161,NORTH-EAST,ETC Azamgarh,ETD Azamgarh,132KV S/S KOILSA,Azamgarh
162,NORTH-EAST,ETC Azamgarh,ETD Azamgarh,132KV S/S LALGANJ(AZAMGARH),Azamgarh
163,NORTH-EAST,ETC Azamgarh,ETD Azamgarh,132KV S/S MEHNAGAR,Azamgarh
164,NORTH-EAST,ETC Azamgarh,ETD Azamgarh,132KV S/S MUBARAKPUR,Azamgarh
165,NORTH-EAST,ETC Azamgarh,ETD Azamgarh,132KV S/S PHOOLPUR,Azamgarh
166,NORTH-EAST,ETC Azamgarh,ETD Azamgarh,132KV S/S BINDAWAL JAIRAJPUR,Azamgarh
167,NORTH-EAST,ETC Azamgarh,ETD Azamgarh,132KV S/S RANI KI SARAI,Azamgarh
168,NORTH-EAST,ETC Azamgarh,ETD Ballia,400KV S/S RASRA,Ballia
169,NORTH-EAST,ETC Azamgarh,ETD Ballia,220KV S/S RASRA,Ballia
170,NORTH-EAST,ETC Azamgarh,ETD Ballia,132KV S/S BALLIA,Ballia
171,NORTH-EAST,ETC Azamgarh,ETD Ballia,132KV S/S CHITBRAGAON,Ballia
172,NORTH-EAST,ETC Azamgarh,ETD Ballia,132KV S/S DIGHAR,Ballia
173,NORTH-EAST,ETC Azamgarh,ETD Ballia,132KV S/S BANSDIH,Ballia
174,NORTH-EAST,ETC Azamgarh,ETD Ballia,132 KV S/S RASRA,Ballia
175,NORTH-EAST,ETC Azamgarh,ETD Ballia,132KV S/S SIKANDERPUR,Ballia
176,NORTH-EAST,ETC Azamgarh,ETD Mau,400KV S/S MAU(KASARA),Mau
