Sr.No.,Zone,Circle,Division,Substation,DistrictName
407,SOUTH-WEST,ETC Agra,400 kV S/S Div. Agra,400KV S/S AGRA,Agra
408,SOUTH-WEST,ETC Agra,400 kV S/S Div. Agra,132KV S/S BARHAN,Agra
409,SOUTH-WEST,ETC Agra,400 kV S/S Div. Agra,132 KV S/S BARHAN,Agra
410,SOUTH-WEST,ETC Agra,"765 kV S/S Div. Fatehabad, Agra","765KV S/S FATEHABAD, AGRA",Agra
411,SOUTH-WEST,ETC Agra,ETD Agra-I,220KV S/S SHAMSHABAD ROAD,Agra
412,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S BHEEMNAGARI,Agra
413,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,Agra
414,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S KHERAGARH,Agra
415,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S SHAMSHABAD,Agra
416,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S AGRA(TAJ),Agra
417,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S BODLA,Agra
418,SOUTH-WEST,ETC Agra,ETD Agra-II,"220KV S/S SIKANDRA,AGRA",Agra
419,SOUTH-WEST,ETC Agra,ETD Agra-II,132KV S/S AGRA(CANTT.),Agra
420,SOUTH-WEST,ETC Agra,ETD Agra-II,132KV S/S AGRA(FOUNDARI-NAGAR),Agra
421,SOUTH-WEST,ETC Agra,ETD Agra-II,132KV S/S DAYALBAGH,Agra
422,SOUTH-WEST,ETC Agra,ETD Agra-II,132KV S/S BICHPURI,Agra
423,SOUTH-WEST,ETC Agra,ETD Agra-II,"132 KV substation,bodla,agra",Agra
424,SOUTH-WEST,ETC Agra,ETD Agra-III,220KV S/S BAH,Agra
425,SOUTH-WEST,ETC Agra,ETD Agra-III,132KV S/S ETMADPUR,Agra
426,SOUTH-WEST,ETC Agra,ETD Agra-III,132KV S/S PINAHAT,Agra
427,SOUTH-WEST,ETC Agra,ETD Agra-III,132 KV S/S GWALIOR ROAD,Agra
428,SOUTH-WEST,ETC Agra,ETD Agra-III,"132KV S/S BAH,AGRA",Agra
429,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S TUNDLA,Firozabad
430,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S FIROZABAD,Firozabad
431,SOUTH-WEST,ETC Agra,ETD Firozabad,220KV S/S SIRSAGANJ,Firozabad
432,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S FARIHA,Firozabad
433,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S JASRANA,Firozabad
434,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S NASEERPUR,Firozabad
435,SOUTH-WEST,ETC Agra,ETD Firozabad,132 KV S/S NARKHI,Firozabad
436,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S SHIKOHABAD,Firozabad
437,SOUTH-WEST,ETC Agra,ETD Firozabad,132KV S/S TUNDLA,Firozabad
438,SOUTH-WEST,ETC Aligarh,400 kV Div. Aligarh,400KV S/S ALIGARH,Aligarh
439,SOUTH-WEST,ETC Aligarh,400 kV Div. Aligarh,132KV S/S AKRABAD,Aligarh
440,SOUTH-WEST,ETC Aligarh,400 kV Div. Aligarh,132 KV SUBSTATION GANGIRI,Aligarh
441,SOUTH-WEST,ETC Aligarh,ETD Aligarh-I,220KV S/S BONER,Aligarh
442,SOUTH-WEST,ETC Aligarh,ETD Aligarh-I,220KV S/S KHAIR,Aligarh
443,SOUTH-WEST,ETC Aligarh,ETD Aligarh-I,132KV S/S ALIGARH-1(SARSAUL),Aligarh
444,SOUTH-WEST,ETC Aligarh,ETD Aligarh-I,132KV S/S ALIGARH-2(BONER),Aligarh
445,SOUTH-WEST,ETC Aligarh,ETD Aligarh-I,132KV S/S ALIGARH-3,Aligarh
446,SOUTH-WEST,ETC Aligarh,ETD Aligarh-I,132KV S/S ALIGARH-5,Aligarh
447,SOUTH-WEST,ETC Aligarh,ETD Aligarh-I,132KV S/S IGLAS,Aligarh
448,SOUTH-WEST,ETC Aligarh,ETD Aligarh-I,132KV S/S JATTARI,Aligarh
449,SOUTH-WEST,ETC Aligarh,ETD Aligarh-I,132KV S/S GABANA,Aligarh
450,SOUTH-WEST,ETC Aligarh,ETD Aligarh-I,132/33KV S/S KHAIR,Aligarh
451,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S SIKANDRA RAO,Hathras
452,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,132KV S/S SIKANDRA RAO,Hathras
453,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,132KV S/S HASAYAN,Hathras
454,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220KV S/S ATRAULI,Aligarh
455,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,132KV S/S GANGIRI,Aligarh
456,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,"132KV S/S ANOOPSHAHR ROAD,ALIGARH",Aligarh
457,SOUTH-WEST,ETC Aligarh,ETD Aligarh-II,220 KV S/S HARDUAGANJ,Aligarh
458,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S MAINPURI,Mainpuri
459,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S DANNAHAR,Mainpuri
460,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KURAWALI,Mainpuri
461,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KUSMARA,Mainpuri
462,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S SULTANGANJ,Mainpuri
463,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,Etah
464,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",Etah
465,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S JALESAR,Etah
466,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S MIRAICHI,Etah
467,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S NIDHAULIKALAN,Etah
468,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S KASGANJ,Kashganj
469,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S GANJ DUNDWARA,Kashganj
470,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,132KV S/S KASHGANJ,Kashganj
471,SOUTH-WEST,ETC Kanpur-I,"220 kV Div. Panki, Kanpur",220KV S/S PANKI(KANPUR),Kanpur Nagar
472,SOUTH-WEST,ETC Kanpur-I,"220 kV Div. Panki, Kanpur",132KV S/S JAWAHARPURAM,Kanpur Nagar
473,SOUTH-WEST,ETC Kanpur-I,"220 kV Div. Panki, Kanpur",132 KV S/S ARMAPUR,Kanpur Nagar
474,SOUTH-WEST,ETC Kanpur-I,"220 kV Div. Panki, Kanpur",220 KV SUB-STATION PANKI,Kanpur Nagar
475,SOUTH-WEST,ETC Kanpur-I,"400 kV Div. Panki, Kanpur",400KV S/S PANKI(KANPUR),Kanpur Nagar
