Sr.No.,Zone,Circle,Division,Substation,DistrictName
235,SOUTH-CENTRAL,ETC Banda,400 kV S/S Div. Banda,400KV S/S BANDA,Banda
236,SOUTH-CENTRAL,ETC Banda,ETD Banda,220KV S/S BANDA,Banda
237,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S AUGASI,Banda
238,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S ATARRA,Banda
239,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S BANDA,Banda
240,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S PAILANI,Banda
241,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S BABERU(GREEN COR.),Banda
242,SOUTH-CENTRAL,ETC Banda,ETD Banda,220KV S/S PAHADI,Chitrakoot
243,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S RAJAPUR,Chitrakoot
244,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S MAU,Chitrakoot
245,SOUTH-CENTRAL,ETC Banda,ETD Banda,132KV S/S KARVI,Chitrakoot
246,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,132KV S/S BHARUWA SUMERPUR,Hamirpur
247,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,"132KV S/S PATARA, HAMIRPUR",Hamirpur
248,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,132KV S/S RATH,Hamirpur
249,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,132KV S/S SARILA,Hamirpur
250,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,220KV S/S HAMIRPUR(GREEN COR.),Hamirpur
251,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,132KV S/S KURARA(GREEN COR.),Hamirpur
252,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,132KV S/S GOHAND(GREEN COR.),Hamirpur
253,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,132KV S/S MUSKARA(GREEN COR.),Hamirpur
254,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,220KV S/S MAHOBA,Mahoba
255,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,132KV S/S MAHOBA,Mahoba
256,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,132KV S/S KABRAI,Mahoba
257,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,132KV S/S PANWARI,Mahoba
258,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,220KV S/S PANWARI(GREEN COR.),Mahoba
259,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,220KV S/S KABRAI(GREEN COR.),Mahoba
260,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,220KV S/S CHARKHARI(GREEN COR.),Mahoba
261,SOUTH-CENTRAL,ETC Banda,ETD Hamirpur,220KV S/S JAITPUR(GREEN COR.),Mahoba
262,SOUTH-CENTRAL,ETC Jhansi,400 kV S/S Div. Orai,400KV S/S ORAI,Jalaun
263,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,132KV S/S ORAI,Jalaun
264,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,220KV S/S JHANSI,Jhansi
265,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,132KV S/S GURSARAY,Jhansi
266,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,132KV S/S JHANSI(HASARI),Jhansi
267,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,132KV S/S Mauranipur,Jhansi
268,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,132KV S/S MOTH,Jhansi
269,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,765KV S/S GURSARAI(GREEN COR.),Jhansi
270,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,220KV S/S BABINA,Jhansi
271,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,220KV S/S MOTH(UPGRADATION OF 132KV MOTH),Jhansi
272,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,220KV S/S BAMAUR(GREEN COR.),Jhansi
273,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,220KV S/S BANGRA(GREEN COR.),Jhansi
274,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,220KV S/S BADAGAON(GREEN COR.),Jhansi
275,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,132KV S/S MOTH NEW(GREEN COR.),Jhansi
276,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,132KV S/S ERAICH(UPEIDA DEFENCE COR.),Jhansi
277,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,220KV S/S LALITPUR,Lalitpur
278,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,132KV S/S LALITPUR,Lalitpur
279,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,132KV S/S MEHRAUNI,Lalitpur
280,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,220KV S/S JAKHORA(GREEN COR.),Lalitpur
281,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,220KV S/S BIRDHA(GREEN COR.),Lalitpur
282,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,220KV S/S MANDWARA,Lalitpur
283,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,132KV S/S TALBEHAT(GREEN COR.),Lalitpur
284,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,132KV S/S MEHRAUNI(GREEN COR.),Lalitpur
285,SOUTH-CENTRAL,ETC Jhansi,ETD Jhansi,132KV S/S BARH(GREEN COR.),Lalitpur
286,SOUTH-CENTRAL,ETC Jhansi,ETD Orai,220KV S/S ORAI,Jalaun
287,SOUTH-CENTRAL,ETC Jhansi,ETD Orai,132KV S/S JALAUN,Jalaun
288,SOUTH-CENTRAL,ETC Jhansi,ETD Orai,132KV S/S KALPI,Jalaun
289,SOUTH-CENTRAL,ETC Jhansi,ETD Orai,132KV S/S KONCH,Jalaun
290,SOUTH-CENTRAL,ETC Jhansi,ETD Orai,400KV S/S MAHEBA (GREEN COR.),Jalaun
291,SOUTH-CENTRAL,ETC Jhansi,ETD Orai,220KV S/S RAMPUR(GREEN COR.),Jalaun
292,SOUTH-CENTRAL,ETC Jhansi,ETD Orai,220KV S/S DAKOR(GREEN COR.),Jalaun
293,SOUTH-CENTRAL,ETC Jhansi,ETD Orai,132KV S/S KADAURA(GREEN COR.),Jalaun
294,SOUTH-CENTRAL,ETC Jhansi,ETD Orai,132KV S/S MADHOGARH,Jalaun
295,SOUTH-CENTRAL,ETC Jhansi,ETD Orai,132KV S/S KUTHOND(GREEN COR.),Jalaun
296,SOUTH-CENTRAL,ETC Jhansi,ETD Orai,132 KV S/s Orai,Jalaun
