Sr.No.,Zone,Circle,Division,Substation,DistrictName
297,SOUTH-EAST,ETC Varanasi-II,ETD Ghazipur,220KV S/S BHADAURA,Ghazipur
298,SOUTH-EAST,ETC Varanasi-II,ETD Ghazipur,220KV S/S GHAZIPUR,Ghazipur
299,SOUTH-EAST,ETC Varanasi-II,ETD Ghazipur,132KV S/S GHAZIPUR,Ghazipur
300,SOUTH-EAST,ETC Varanasi-II,ETD Ghazipur,132KV S/S KASIMABAD,Ghazipur
301,SOUTH-EAST,ETC Varanasi-II,ETD Ghazipur,132KV S/S KUNDESAR,Ghazipur
302,SOUTH-EAST,ETC Varanasi-II,ETD Ghazipur,132KV S/S SADAT,Ghazipur
303,SOUTH-EAST,ETC Varanasi-II,ETD Ghazipur,132KV S/S SAIDPUR,Ghazipur
304,SOUTH-EAST,ETC Varanasi-II,ETD Ghazipur,132KV S/S ZAMANIA,Ghazipur
305,SOUTH-EAST,ETC Varanasi-II,ETD Jaunpur,220KV S/S JAUNPUR,Jaunpur
306,SOUTH-EAST,ETC Varanasi-II,ETD Jaunpur,132KV S/S JAUNPUR,Jaunpur
307,SOUTH-EAST,ETC Varanasi-II,ETD Jaunpur,132KV S/S MACHHALISHAHR,Jaunpur
308,SOUTH-EAST,ETC Varanasi-II,ETD Jaunpur,132KV S/S MARIYAHUN,Jaunpur
309,SOUTH-EAST,ETC Varanasi-II,ETD Jaunpur,132KV S/S MUGRABADSHAHPUR,Jaunpur
310,SOUTH-EAST,ETC Varanasi-II,ETD Jaunpur-II,132KV S/S SHAHGANJ,Jaunpur
311,SOUTH-EAST,ETC Varanasi-II,ETD Jaunpur-II,132KV S/S SIDDIQUEPUR,Jaunpur
312,SOUTH-EAST,ETC Varanasi-II,ETD Jaunpur-II,132KV S/S BADLAPUR,Jaunpur
313,SOUTH-EAST,ETC Varanasi-II,ETD Jaunpur-II,132KV S/S KERAKAT,Jaunpur
314,SOUTH-EAST,ETC Varanasi-II,ETD Jaunpur-II,400KV S/S JAUNPUR,Jaunpur
315,SOUTH-EAST,ETC Mirzapur,ETD Mirzapur,220KV S/S MIRZAPUR,Mirzapur
316,SOUTH-EAST,ETC Mirzapur,ETD Mirzapur,132KV S/S GURUDEV NAGAR,Mirzapur
317,SOUTH-EAST,ETC Mirzapur,ETD Mirzapur,132KV S/S JIGNA,Mirzapur
318,SOUTH-EAST,ETC Mirzapur,ETD Mirzapur,"132KV S/S LALGANJ,MIRZAPUR",Mirzapur
319,SOUTH-EAST,ETC Mirzapur,ETD Mirzapur,132KV S/S MIRZAPUR,Mirzapur
320,SOUTH-EAST,ETC Mirzapur,ETD Mirzapur,132KV S/S CHHANBEY,Mirzapur
321,SOUTH-EAST,ETC Mirzapur,ETD Robertsganj,220KV S/S ROBERTSGANJ,Sonebhadra
322,SOUTH-EAST,ETC Mirzapur,ETD Robertsganj,132KV S/S BINA,Sonebhadra
323,SOUTH-EAST,ETC Mirzapur,ETD Robertsganj,132KV S/S DALA,Sonebhadra
324,SOUTH-EAST,ETC Mirzapur,ETD Robertsganj,132KV S/S ROBERTSGANJ,Sonebhadra
325,SOUTH-EAST,ETC Mirzapur,ETD Robertsganj,132KV S/S PASAHI,Sonebhadra
326,SOUTH-EAST,ETC Mirzapur,ETD Robertsganj,220KV S/S MYOREPUR,Sonebhadra
327,SOUTH-EAST,ETC Mirzapur,"ETD Varanasi -IV, (Bhadhoi)","132KV S/S KACHHWA, MIRZAPUR",Mirzapur
328,SOUTH-EAST,ETC Mirzapur,"ETD Varanasi -IV, (Bhadhoi)",132KV S/S AURAI,Bhadohi
329,SOUTH-EAST,ETC Mirzapur,"ETD Varanasi -IV, (Bhadhoi)",132KV S/S BHADOHI,Bhadohi
