Sr.No.,Zone,Circle,Division,Substation,DistrictName
542,WEST,ETC Ghaziabad,400 kV S/S Div Muradnagar -I,400KV S/S MURADNAGAR-I,Gaziabad
543,WEST,ETC Ghaziabad,400 kV S/S Div Muradnagar -II,400KV S/S MURADNAGAR-II,Gaziabad
544,WEST,ETC Ghaziabad,ETD Ghaziabad-I,220 KV S/S MANDOLA VIHAR,Gaziabad
545,WEST,ETC Ghaziabad,ETD Ghaziabad-I,220KV S/S LONI,Gaziabad
546,WEST,ETC Ghaziabad,ETD Ghaziabad-I,220KV S/S MORTI,Gaziabad
547,WEST,ETC Ghaziabad,ETD Ghaziabad-I,220KV S/S SAHIBABAD,Gaziabad
548,WEST,ETC Ghaziabad,ETD Ghaziabad-I,132KV S/S KANHA UPWAN,Gaziabad
549,WEST,ETC Ghaziabad,ETD Ghaziabad-I,132KV S/S MOHANNAGAR,Gaziabad
550,WEST,ETC Ghaziabad,ETD Ghaziabad-I,132KV S/S TILA MORE,Gaziabad
551,WEST,ETC Ghaziabad,ETD Ghaziabad-I,132KV S/S VAISHALI,Gaziabad
552,WEST,ETC Ghaziabad,ETD Ghaziabad-II,220KV S/S PRATAPVIHAR,Gaziabad
553,WEST,ETC Ghaziabad,ETD Ghaziabad-II,"220KV S/S MADHUBAN BAPUDHAM, GIS",Gaziabad
554,WEST,ETC Ghaziabad,ETD Ghaziabad-II,"132KV S/S DPH,GHAZIABAD",Gaziabad
555,WEST,ETC Ghaziabad,ETD Ghaziabad-II,132KV S/S GHAZIABAD(BSR ROAD) Lal kuan,Gaziabad
556,WEST,ETC Ghaziabad,ETD Ghaziabad-II,132KV S/S GHAZIABAD(IA),Gaziabad
557,WEST,ETC Ghaziabad,ETD Ghaziabad-II,"132KV S/S GHAZIABAD(M.ROAD),MORTA",Gaziabad
558,WEST,ETC Ghaziabad,ETD Ghaziabad-II,132KV S/S GOVINDPURAM,Gaziabad
559,WEST,ETC Ghaziabad,ETD Ghaziabad-II,"132KV S/S UPSIDC, MASSURI",Gaziabad
560,WEST,ETC Ghaziabad,ETD Ghaziabad-II,132 KV S/S MORTA,Gaziabad
561,WEST,ETC Ghaziabad,ETD Ghaziabad-II,132KV S/S BSR II,Gaziabad
562,WEST,ETC Ghaziabad,ETD Muradnagar,220KV S/S FARIDNAGAR,Gaziabad
563,WEST,ETC Ghaziabad,ETD Muradnagar,220KV S/S MURADNAGAR,Gaziabad
564,WEST,ETC Ghaziabad,ETD Muradnagar,132KV S/S MODINAGAR(MODI STEEL),Gaziabad
565,WEST,ETC Ghaziabad,ETD Muradnagar,132KV S/S MODINAGAR(NIWARI ROAD),Gaziabad
566,WEST,ETC Gr.Noida,400 kV S/S Div Gr. Noida,400KV S/S GREATER NOIDA,Gautam Buddha Nagar
567,WEST,ETC Gr.Noida,400 kV S/S Div Gr. Noida,220KV S/S IITGNL,Gautam Buddha Nagar
568,WEST,ETC Gr.Noida,400 kV S/S Div Gr. Noida,220KV S/S YEIDA(SEC-18),Gautam Buddha Nagar
569,WEST,ETC Gr.Noida,400 kV S/S Div Gr. Noida,220KV S/S YEIDA(SEC-24),Gautam Buddha Nagar
570,WEST,ETC Gr.Noida,ETD Bulandshahar,220KV S/S RUKHI,Bulandshahar
571,WEST,ETC Gr.Noida,ETD Bulandshahar,220KV S/S SIKANDRABAD,Bulandshahar
572,WEST,ETC Gr.Noida,ETD Bulandshahar,132KV S/S BB NAGAR,Bulandshahar
573,WEST,ETC Gr.Noida,ETD Bulandshahar,132KV S/S BHOOR,Bulandshahar
574,WEST,ETC Gr.Noida,ETD Bulandshahar,132KV S/S BHOOR-II,Bulandshahar
575,WEST,ETC Gr.Noida,ETD Bulandshahar,132KV S/S GULAOTI,Bulandshahar
576,WEST,ETC Gr.Noida,ETD Bulandshahar,132KV S/S LAKHAOTI,Bulandshahar
577,WEST,ETC Gr.Noida,ETD Bulandshahar,132KV S/S SIYANA,Bulandshahar
578,WEST,ETC Gr.Noida,ETD Hapur,132KV S/S DASNA,Hapur
579,WEST,ETC Gr.Noida,ETD Hapur,132 KV S/S TEXTILE CENTER PILAKHUWA,Hapur
580,WEST,ETC Gr.Noida,ETD Hapur,132 KV S/S HAPUR,Hapur
581,WEST,ETC Gr.Noida,ETD Hapur,132 KV S/S BABUGARH,Hapur
582,WEST,ETC Gr.Noida,ETD Hapur,220 KV HYBRID S/S HAPUR,Hapur
583,WEST,ETC Gr.Noida,ETD Hapur,220 KV S/S SIMBHAOLI,Hapur
584,WEST,ETC Gr.Noida,ETD Hapur,132 KV S/S GARHMUKETSHWER,Hapur
585,WEST,ETC Gr.Noida,ETD Hapur,220KV S/S SIMBHAOLI,Hapur
586,WEST,ETC Gr.Noida,ETD Hapur,220 KV HAPUR HYBRID,Hapur
587,WEST,ETC Gr.Noida,ETD Hapur,132KV S/S GARHMUKTESHWAR,Hapur
588,WEST,ETC Gr.Noida,ETD Hapur,132KV S/S HAPUR,Hapur
589,WEST,ETC Gr.Noida,ETD Hapur,132KV S/S HAPUR II(BABUGARH),Hapur
590,WEST,ETC Gr.Noida,ETD Hapur,132KV S/S PILKHUWA,Hapur
591,WEST,ETC Gr.Noida,ETD Khurja,220KV S/S KHURJA,Bulandshahar
592,WEST,ETC Gr.Noida,ETD Khurja,220KV S/S DEBAI,Bulandshahar
593,WEST,ETC Gr.Noida,ETD Khurja,220KV S/S JAHANGIRABAD,Bulandshahar
594,WEST,ETC Gr.Noida,ETD Khurja,132KV S/S ANOOPSHAHR,Bulandshahar
