discomName,zoneName,circleName,divisionName,substationName,feederName,feederVoltage,meterMake,meterSLNo,overAllMF,status
KESCO,KESCO,CIRCLE IV,VIKAS NAGAR,SINGHPUR,INC-2,11,SECUR,XB455586,1,Active
KESCO,KESCO,CIRCLE IV,VIKAS NAGAR,SINGHPUR,INC-1,11,SECURE,XB455587,1,Active
KESCO,KESCO,CIRCLE IV,VIKAS NAGAR,KESA COLONY,KESA COLONY INCOMER NO. 1,11,SECURE,X0271144,2,Active
KESCO,KESCO,CIRCLE IV,VIKAS NAGAR,DAYANAND VIHAR,INC-2,11,LNT,17090476,2,Active
KESCO,KESCO,CIRCLE IV,VIKAS NAGAR,DAYANAND VIHAR,INC-1,11,LNT,17090480,2,Active
KESCO,KESCO,CIRCLE IV,VIKAS NAGAR,BITHOOR,BITHOOR INCOMER NO. 1,11,SECURE,X0271255,2,Active
KESCO,KESCO,CIRCLE IV,VIKAS NAGAR,VIKAS NAGAR,INC-2,11,SECURE,UMP51337,2,Active
KESCO,KESCO,CIRCLE IV,VIKAS NAGAR,VIKAS NAGAR,INC-1,11,SECURE,UPP51343,2,Active
KESCO,KESCO,CIRCLE III,HANSPURAM,MANDI SAMITI,INC-2,11,LNT,17136644,2,Active
KESCO,KESCO,CIRCLE III,HANSPURAM,MANDI SAMITI,INC-1,11,LNT,17136638,2,Active
KESCO,KESCO,CIRCLE III,HANSPURAM,HANSPURAM,INC-3,11,SECURE,XB455605,2,Active
KESCO,KESCO,CIRCLE III,HANSPURAM,HANSPURAM,INC-2,11,SECURE,X0051647,0.5,Active
KESCO,KESCO,CIRCLE III,HANSPURAM,HANSPURAM,INC-1,11,SECURE,X0051649,1,Active
KESCO,KESCO,CIRCLE III,DAHELI SUJANPUR,37 PAC,INC-2,11,SECURE,XC461177,2,Active
KESCO,KESCO,CIRCLE III,DAHELI SUJANPUR,37 PAC,INC-1,11,SECURE,XC460773,2,Active
KESCO,KESCO,CIRCLE III,DAHELI SUJANPUR,HIGHWAY CITY,INC-1,11,SECURE,X0271239,2,Active
KESCO,KESCO,CIRCLE III,DAHELI SUJANPUR,HIGHWAY CITY,INC-2,11,SECURE,X0251198,2,Active
KESCO,KESCO,CIRCLE III,DAHELI SUJANPUR,KOYLA NAGAR,INC-2,11,SECURE,X0271242,2,Active
KESCO,KESCO,CIRCLE III,DAHELI SUJANPUR,KOYLA NAGAR,INC-1,11,SECURE,X0271261,4,Active
KESCO,KESCO,CIRCLE III,DAHELI SUJANPUR,SUJAT GANJ,INC-2,11,SECURE,UPP51352,1,Active
KESCO,KESCO,CIRCLE III,DAHELI SUJANPUR,SUJAT GANJ,INC-1,11,SECURE,UPP51355,2,Active
