S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
1,DAKSHINANCHAL,ALIGARH,EDC II ALIGARH,EDD IV IGLAS,GORAI_24499,INC-3,JATWAR PTW_21126134499JTP,21126134499JTP,11,AGRICULTURE,OTHERS,RURAL,SECURE,UMV89208,2,EDD IV IGLAS,Active
2,DAKSHINANCHAL,ALIGARH,EDC II ALIGARH,EDD IV IGLAS,GORAI_24499,INC-3,JAMAU PTW_21126134499JMP,21126134499JMP,11,AGRICULTURE,OTHERS,RURAL,SECURE,HRT97125,2,EDD IV IGLAS,Active
3,DAKSHINANCHAL,ALIGARH,EDC II ALIGARH,EDD IV IGLAS,GORAI_24499,INC-3,GPRAI PTW_21126134499GRP,21126134499GRP,11,AGRICULTURE,OTHERS,RURAL,SECURE,X0288583,40,EDD IV IGLAS,Active
4,DAKSHINANCHAL,MATHURA,EUDC MATHURA,EUDD III MATHURA,RADHAPURAM ESTATE_20148,INC-2,HARI NAGAR_26141310148HRN,HARI NAGAR_26141310148HRN,11,OTHER,DISTRICT HQ,URBAN,SECURE,X0004467,2,EUDD III MATHURA,Active
5,DAKSHINANCHAL,AGRA,EDC FATEHABAD,EDD BAH,ARNOTA_24312,INC-2,ARNOTA RURAL_25151124312ARR,25151124312ARR,11,OTHER,OTHERS,RURAL,SECURE,X1832978,1,EDD BAH,Active
6,DAKSHINANCHAL,AGRA,EDC FATEHABAD,EDD III AGRA,MAZARA_24665,INC-1,JAI DHANOLA MA COLD_25151334665JDM,25151334665JDM,11,INDEPENDENT,OTHERS,RURAL,SECURE,X2207673,1,EDD III AGRA,Active
7,DAKSHINANCHAL,ETAH,EDC KASGANJ,EDD KASGANJ RURAL,AMANPUR_22035,INC-1,KARSANA PTW_21705242035KSP,21705242035KSP,11,AGRICULTURE,OTHERS,RURAL,SECURE,X023300,0.08,EDD KASGANJ RURAL,Active
8,DAKSHINANCHAL,ETAH,EDC KASGANJ,EDD KASGANJ RURAL,SALEMPUR BIBI_24826,INC-1,CHANDAUS PTW_21705214826CNP,21705214826CNP,11,AGRICULTURE,OTHERS,RURAL,SECURE,XC407610,1,EDD KASGANJ RURAL,Active
9,DAKSHINANCHAL,ETAH,EDC KASGANJ,EDD KASGANJ RURAL,SORON RURAL_24880,INC-1,GORAH PTW_21705214880GRP,21705214880GRP,11,AGRICULTURE,OTHERS,RURAL,LNT,16087478,2,EDD KASGANJ RURAL,Active
10,DAKSHINANCHAL,JHANSI,EUDC JHANSI,EUDD II JHANSI,NANDANPUTRA_20061,INC-3,SBI_23351210061SBI,23351210061SBI,11,OTHER,OTHERS,URBAN,LNT,1570525,80,EUDD II JHANSI,Active
11,DAKSHINANCHAL,KANPUR-II,EDC KANNAUJ,EDD CHHIBRAMAU,INDUIYAGANJ_24523,INC-2,SAMDHAN_22294224523SMD,22294224523SMD,11,OTHER,OTHERS,RURAL,SECURE,X2288003,0.02,EDD CHHIBRAMAU,Active
12,DAKSHINANCHAL,KANPUR-II,EDC KANNAUJ,EDD CHHIBRAMAU,KISHAI JAGDEESHPUR_24597,INC-1,NANDPUR PTW_22294254597NDP,22294254597NDP,11,AGRICULTURE,OTHERS,RURAL,SECURE,X1191187,1,EDD CHHIBRAMAU,Active
13,DAKSHINANCHAL,KANPUR-II,EDC KANNAUJ,EDD CHHIBRAMAU,TALGRAM_22759,INC-1,FORENSIK LAB_22294252759FRL,22294252759FRL,11,INDEPENDENT,OTHERS,RURAL,LNT,1733406,0.02,EDD CHHIBRAMAU,Active
14,DAKSHINANCHAL,KANPUR-II,EDC KANNAUJ,EDD CHHIBRAMAU,HASERAN_24509,INC-2,MADHPURA_22294254509MDH,22294254509MDH,11,OTHER,OTHERS,RURAL,LNT,13003199,2,EDD CHHIBRAMAU,Active
15,DAKSHINANCHAL,KANPUR-II,EDC KANNAUJ,EDD CHHIBRAMAU,CHHIBRAMAU II_24436,INC-2,PREMPUR_22294210103PMP,22294210103PMP,11,OTHER,OTHERS,RURAL,SECURE,UP099521,0.04,EDD CHHIBRAMAU,Active
16,DAKSHINANCHAL,KANPUR-I,EDC KANPUR DEHAT,EDD JHIJAK,MAITHA_24645,INC-2,NEW MAITHA_22336224645NMT,2336224645NMT,11,OTHER,OTHERS,RURAL,LNT,14003202,0.02,EDD JHIJAK,Active
17,DAKSHINANCHAL,JHANSI,EDC ORAI,EDD I ORAI,AUNTA_24272,INC-2,FEEDER-2 PTW_23342234272FPP,23342234272FPP,11,AGRICULTURE,OTHERS,RURAL,SECURE,X0236856,0.04,EDD I ORAI,Active
18,DAKSHINANCHAL,JHANSI,EDC ORAI,EDD I ORAI,AUNTA_24272,INC-2,FEEDER-1 PTW_23342234272FDP,23342234272FDP,11,AGRICULTURE,OTHERS,RURAL,SECURE,X0236860,0.04,EDD I ORAI,Active
19,DAKSHINANCHAL,MATHURA,EUDC MATHURA,EUDD I MATHURA,NAVADA_20140,INC-1,VIRJAPUR_26141120140VRJ,26141120140VRJ,11,OTHER,DISTRICT HQ,URBAN,SECURE,UD017307,0.04,EUDD I MATHURA,Active
20,DAKSHINANCHAL,BANDA,EDC MAHOBA,EDD II MAHOBA,KHANNA_24590,INC-2,NAMAMI GANGE_24371214590NMG,24371214590NMG,11,OTHER,OTHERS,RURAL,GENUS,5994455,40,EDD II MAHOBA,Active
21,DAKSHINANCHAL,BANDA,EDC MAHOBA,EDD II MAHOBA,SHRI NAGAR_24860,INC-1,PIPRA MAAF_24371214860PPM,24371214860PPM,11,OTHER,OTHERS,RURAL,SECURE,X1464775,40,EDD II MAHOBA,Active
22,DAKSHINANCHAL,BANDA,EDC MAHOBA,EDD II MAHOBA,JAITPUR_24930,INC-2,NAMAMI GANGE LEVA_24371224930NGL,24371224930NGL,11,INDEPENDENT,OTHERS,RURAL,SECURE,X2249524,2,EDD II MAHOBA,Active
23,DAKSHINANCHAL,BANDA,EDC MAHOBA,EDD II MAHOBA,ALIPURA_24295,INC-1,DHAURRA MANDI_24371214295DRM,24371214295DRM,11,OTHER,OTHERS,RURAL,SECURE,X2246670,0.04,EDD II MAHOBA,Active
24,DAKSHINANCHAL,BANDA,EDC MAHOBA,EDD II MAHOBA,JAMALA_24541,INC-2,PEYJAL NAMAMI GANGE_24371234541PNG,24371234541PNG,11,INDEPENDENT,OTHERS,RURAL,GENUS,5994500,0.04,EDD II MAHOBA,Active
25,DAKSHINANCHAL,BANDA,EDC MAHOBA,EDD I MAHOBA,GAURAHARI_24487,INC-2,WATER SUPPLY_24371124487WTS,24371124487WTS,11,AGRICULTURE,OTHERS,RURAL,SECURE,X1071003,0.02,EDD I MAHOBA,Active
26,DAKSHINANCHAL,KANPUR-I,EDC KANPUR,EDD II CHAUBEYPUR,MAKANPUR_24646,INC-1,MAKANPUR PTW_22331324646MKP,22331324646MKP,11,AGRICULTURE,OTHERS,RURAL,SECURE,XC409270,1,EDD II CHAUBEYPUR,Active
