S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
2994,DAKSHINANCHAL,ETAH,EDC ETAH,EDD I ETAH,ALIGANJ RL_24928,INC-2,SAROTH PTW_21703324928SHP,21703324928SHP,11,AGRICULTURE,OTHERS,RURAL,SECURE,XC461054,2,EDD I ETAH,Active
2995,DAKSHINANCHAL,ETAH,EDC KASGANJ,EDD KASGANJ,KASGANJ NAGAR_24264,INC-2,KOTWALI _21705114264KTW,21705114264KTW,11,MIXED ABOVE 25%,OTHERS,URBAN,LNT,16018452,1,EDD KASGANJ,Active
2996,DAKSHINANCHAL,ETAH,EDC HATHRAS,EDD IV HATHRAS,NANAU_24704,INC-1,HELI PTW_21132424704HLP,21132424704HLP,11,AGRICULTURE,OTHERS,RURAL,3X3X-5AMP,X0288521,0.02,EDD IV HATHRAS,Active
2997,DAKSHINANCHAL,ETAH,EDC HATHRAS,EDD III HATHRAS,RATI KA NAGLA_24797,INC-2,AARAV INDUSTRTY_21132334797ARV,21132334797ARV,11,MIXED ABOVE 50%,OTHERS,RURAL,SECURE,X0729436,0.02,EDD III HATHRAS,Active
2998,DAKSHINANCHAL,ETAH,EDC HATHRAS,EDD III HATHRAS,BARBANA_24351,INC-1,KUNDA_21132344351KUD,21132344351KUD,11,OTHER,OTHERS,RURAL,3X3X-5AMP,X0288649,0.02,EDD III HATHRAS,Active
2999,DAKSHINANCHAL,ETAH,EDC HATHRAS,EDD III HATHRAS,AGSHOLI_24287,INC-2,PACHO FEEDER_21132314287PCO,21132314287PCO,11,OTHER,OTHERS,RURAL,33X3X-5AMP,X1464783,1,EDD III HATHRAS,Active
3000,DAKSHINANCHAL,ETAH,EDC HATHRAS,EDD II HATHRAS,LADPUR_24621,INC-1,NAGLA GULARIYA_21132224621NGY,21132224621NGY,11,OTHER,OTHERS,RURAL,3X3X-5AMP,XC434158,2,EDD II HATHRAS,Active
3001,DAKSHINANCHAL,ETAH,EDC HATHRAS,EDD II HATHRAS,LAHRA_24623,INC-1,JOGIYA_21132214623JGA,21132214623JGA,11,OTHER,OTHERS,RURAL,3X3X-5AMP,18064002,0.02,EDD II HATHRAS,Active
3002,DAKSHINANCHAL,ETAH,EDC HATHRAS,EDD II HATHRAS,CHANDPA_24422,INC-1,BISANA_21132224422BSN,21132224422BSN,11,OTHER,OTHERS,RURAL,3X3X-5AMP,X0288406,0.04,EDD II HATHRAS,Active
3003,DAKSHINANCHAL,ETAH,EDC HATHRAS,EDD I HATHRAS,M KASHIRAM YOJANA (SIDE-B)_20026,INC-1,FEEDER 1_21132120026FD1,21132120026FD1,11,OTHER,OTHERS,URBAN,SECURE,X1414554,0.04,EDD I HATHRAS,Active
