S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
1,KESCO,KESCO,CIRCLE IV,VIKAS NAGAR,VIKAS NAGAR,INC-2,AZAD CHOWK,51334220086P39,11,OTHER,DISTRICT HQ,DISTRICT HQ,SECURE,UPP51403,1,VIKAS NAGAR,Active
2,KESCO,KESCO,CIRCLE III,HANSPURAM,HANSPURAM,INC-3,AWAS VIKAS,51333610071S42,11,OTHER,DISTRICT HQ,IPDS,SECURE,X2319540,2,HANSPURAM,Active
3,KESCO,KESCO,CIRCLE III,NAUBASTA,PASHUPATI NAGAR,INC-2,NAMAK FACTORY CHAURAHA,51333520069K39,11,OTHER,DISTRICT HQ,IPDS,SECURE,XC2319538,2,NAUBASTA,Active
4,KESCO,KESCO,CIRCLE III,NAUBASTA,PASHUPATI NAGAR,INC-1,RAMJANI CHAURAHA,51333520069K38,11,OTHER,DISTRICT HQ,IPDS,SECURE,X2177909,0.08,NAUBASTA,Active
5,KESCO,KESCO,CIRCLE II,KIDWAI NAGAR,PARAM PURWA SUBSTATION,INC-1,BASANTI NAGAR,NA,11,OTHER,DISTRICT HQ,IPDS,SECURE,Q0940301,0.06,KIDWAI NAGAR,Active
6,KESCO,KESCO,CIRCLE II,DADA NAGAR,POLYMAR,INC-4,KDA,51332110036B65,11,OTHER,DISTRICT HQ,IPDS,SECURE,X2177924,0.08,DADA NAGAR,Active
7,KESCO,KESCO,CIRCLE II,GOVIND NAGAR,E BLOCK GUJAINI,INC-1,ASHOK KALIYA,51332310100U45,11,OTHER,DISTRICT HQ,IPDS,SECURE,X2177926,0.08,GOVIND NAGAR,Active
8,KESCO,KESCO,CIRCLE IV,KALYANPUR,KESHAVPURAM,INC-1,SANTOSHI MATA,51334120085I51,11,OTHER,DISTRICT HQ,IPDS,SECURE,HRT95323,1,KALYANPUR,Active
9,KESCO,KESCO,CIRCLE IV,KALYANPUR,KESHAVPURAM,INC-1,KDMA NEW,51334120085I52,11,OTHER,DISTRICT HQ,IPDS,SECURE,HRT95705,1,KALYANPUR,Active
10,KESCO,KESCO,CIRCLE IV,KALYANPUR,NANKARI,INC-1,HORA BANGARHORA BANGAR,51334110081I17,11,OTHER,DISTRICT HQ,IPDS,SECURE,WBE09985,1,KALYANPUR,Active
11,KESCO,KESCO,CIRCLE III,JAJMAU,POKHARPUR,INC-3,ROYAL COMPOUND,51333320062H47,11,OTHER,DISTRICT HQ,IPDS,SECURE,X1464835,2,JAJMAU,Active
12,KESCO,KESCO,CIRCLE I,PHOOL BAGH,PHOOL BAGH,INC-3,NEW LIC,51331430008M19,11,INDEPENDENT,DISTRICT HQ,URBAN,SECURE,X2145600,0.06,PHOOL BAGH,Active
13,KESCO,KESCO,CIRCLE III,NAUBASTA,BUDHPUR MACHHARIYA,INC-2,SAKRAPUR,51333510068K58,11,OTHER,DISTRICT HQ,URBAN,SECURE,UPP51419,1,NAUBASTA,Active
14,KESCO,KESCO,CIRCLE III,NAUBASTA,BUDHPUR MACHHARIYA,INC-2,SAINIK CHAURAHA,51333510068K56,11,OTHER,DISTRICT HQ,URBAN,SECURE,X2161500,0.08,NAUBASTA,Active
15,KESCO,KESCO,CIRCLE III,NAUBASTA,BUDHPUR MACHHARIYA,INC-2,BAJRANG CHAURAHA,51333510068K57,11,OTHER,DISTRICT HQ,URBAN,SECURE,X2161498,0.08,NAUBASTA,Active
16,KESCO,KESCO,CIRCLE II,PARAG DAIRY,PARAG DAIRY,INC-1,SUSHILA NURSING HOME,NA,11,MIXED ABOVE 25%,DISTRICT HQ,IPDS,LNT,17090506,1,PARAG DAIRY,Active
17,KESCO,KESCO,CIRCLE III,HARRIS GANJ,RING ROAD,INC-2,SHIV SHAMBHU,NA,11,OTHER,DISTRICT HQ,IPDS,SECURE,XC461158,1,HARRIS GANJ,Active
18,KESCO,KESCO,CIRCLE IV,SARVODAYA NAGAR,NAMAK FACTORY,INC-2,INDRESH DEVELOPERS,NA,11,INDEPENDENT,DISTRICT HQ,IPDS,SECURE,HRT95304,1,SARVODAYA NAGAR,Active
19,KESCO,KESCO,CIRCLE IV,VIKAS NAGAR,SINGHPUR,INC-2,PARAS HOSPITAL,NA,11,INDEPENDENT,DISTRICT HQ,IPDS,SECURE,HRT95300,2,VIKAS NAGAR,Active
20,KESCO,KESCO,CIRCLE III,DAHELI SUJANPUR,37 PAC,INC-1,SHRI RAM,NA,11,OTHER,DISTRICT HQ,IPDS,SECURE,XC461186,1,DAHELI SUJANPUR,Active
21,KESCO,KESCO,CIRCLE III,HARRIS GANJ,AHIRWA,INC-1,NEW AIRPORT,51333220105G56,11,INDEPENDENT,DISTRICT HQ,IPDS,SECURE,XB455726,1,HARRIS GANJ,Active
22,KESCO,KESCO,CIRCLE III,JAJMAU,POKHARPUR,INC-2,JAGAI PURWA,51333320062H35,11,OTHER,DISTRICT HQ,IPDS,SECURE,X0692479,1,JAJMAU,Active
23,KESCO,KESCO,CIRCLE I,ALOO MANDI,ALOOMANDI,INC-2,M-113 JHAKAR KATI,51331110032A21,11,MIXED ABOVE 25%,DISTRICT HQ,IPDS,SECURE,UPP51381,2,ALOO MANDI,Active
24,KESCO,KESCO,CIRCLE I,NAWABGANJ,BHAIRO GHAT,INC-2,EMRALD MORNING GLORY,51331310022L22,11,INDEPENDENT,DISTRICT HQ,IPDS,SECURE,X1330017,0.06,NAWABGANJ,Active
