S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
1,MADHYANCHAL,L.E.S.A. CG-II,EUDC I LESA,HUSSAIN GANJ,OCR_30094,INC-1,SANJOG NAGAR_31261110094SJN,31261110094SJN,11,OTHER,OTHERS,URBAN,SECURE,X2144618,0.06,HUSSAIN GANJ,Active
2,MADHYANCHAL,L.E.S.A. CG-II,EUDC I LESA,RAJ BHAWAN,CG City-4_34133,INC-1,RMU 4_31261434133RM4,31261434133RM4,11,OTHER,DISTRICT HQ,URBAN,LNT,16066388,1,RAJ BHAWAN,Active
3,MADHYANCHAL,AYODHYA,EDC BARABANKI,EDD BARABANKI,SATHRIK_324522,INC-2,TOWN 2_32451320900TN2,32451320900TN2,11,OTHER,OTHERS,RURAL,SECURE,X2249555,2,EDD BARABANKI,Active
4,MADHYANCHAL,AYODHYA,EDC BARABANKI,EDD II BARABANKI RAMNAGAR,SURAT GANJ_324523,INC-2,BABA LODHESWAR_32451230226BLD,32451230226BLD,11,INDUSTRIAL ABOVE 75%,OTHERS,RURAL,SECURE,Q0796601,0.02,EDD II BARABANKI RAMNAGAR,Active
5,MADHYANCHAL,RAEBARELI,EDC I RAEBARELI,EDD MAHARAJGANJ,CHANDAPUR_332733,INC-1,AGRICULTURE_33273130134ARP,33273130134ARP,11,AGRICULTURE,OTHERS,RURAL,SECURE,XB426185,1,EDD MAHARAJGANJ,Active
6,MADHYANCHAL,RAEBARELI,EDC I RAEBARELI,EDD II RAIBAREILI TRIPHULA,SIDHAUNA_332732,INC-2,AGRICULTURE_33273120131AGP,33273120131AGP,11,AGRICULTURE,OTHERS,RURAL,SECURE,X2244366,0.04,EDD II RAIBAREILI TRIPHULA,Active
7,MADHYANCHAL,RAEBARELI,EDC I RAEBARELI,EDD II RAIBAREILI TRIPHULA,SIDHAUNA_332732,INC-1,RASETHA 1_33273120131RS1,33273120131RS1,11,OTHER,OTHERS,RURAL,SECURE,X1796428,0.06,EDD II RAIBAREILI TRIPHULA,Active
8,MADHYANCHAL,BAREILLY-I,EUDC BAREILLY,EUDD IV BAREILLY,HARUNAGALA_34194,INC-3,SUPER CITY PART 2_34191414194SP2,34191414194SP2,11,OTHER,OTHERS,URBAN,SECURE,X2232782,60,EUDD IV BAREILLY,Active
9,MADHYANCHAL,BAREILLY-I,EUDC BAREILLY,EUDD IV BAREILLY,HARUNAGALA_34194,INC-3,STP_34191414194STP,34191414194STP,11,OTHER,OTHERS,URBAN,SECURE,SS17134114,1,EUDD IV BAREILLY,Active
10,MADHYANCHAL,BAREILLY-I,EUDC BAREILLY,EUDD IV BAREILLY,HARUNAGALA_34194,INC-3,LAKSHAY_34191414194LKS,34191414194LKS,11,OTHER,OTHERS,URBAN,SECURE,SS17134079,1,EUDD IV BAREILLY,Active
11,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD II SITAPUR,HUSAINGANJ_30066,INC-1,TRAUMA CENTER_33232210066TMC,33232210066TMC,11,OTHER,OTHERS,RURAL,SECURE,XF413258,0.04,EDD II SITAPUR,Active
12,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD II SITAPUR,GONDLAMAU_332322,INC-1,JAHAURIYAMAU 2_33232250292JY2,33232250292JY2,11,OTHER,OTHERS,RURAL,SECURE,X2244375,0.04,EDD II SITAPUR,Active
13,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD MAHMUDABAD,REUSA_332324,INC-1,KISHORGANJ_33232240361KSJ,33232240361KSJ,11,OTHER,OTHERS,RURAL,SECURE,X2244312,0.04,EDD MAHMUDABAD,Active
14,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD II SITAPUR,KAMLAPUR_332322,INC-1,RANJEETPUR_33232250366RNJ,33232250366RNJ,11,OTHER,OTHERS,RURAL,SECURE,XB496396,0.04,EDD II SITAPUR,Active
15,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD II SITAPUR,DEVGAWAN_332322,INC-1,SHAHABNAGAR_33232260801SBN,33232260801SBN,11,OTHER,OTHERS,RURAL,SECURE,X2232905,0.04,EDD II SITAPUR,Active
16,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD II SITAPUR,MACHHREHTA_332322,INC-1,SURAJPUR_33232140283SUR,33232140283SUR,11,OTHER,OTHERS,RURAL,SECURE,X0381318,0.04,EDD II SITAPUR,Active
17,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD II SITAPUR,MACHHREHTA_332322,INC-1,MACCHREHTA TOWN_33232140283MHT,33232140283MHT,11,OTHER,OTHERS,RURAL,SECURE,X2244432,0.04,EDD II SITAPUR,Active
18,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD BISWAN,HARGAON NAYA_332323,INC-2,UDLAPUR_33232310274UDL,33232310274UDL,11,OTHER,OTHERS,RURAL,SECURE,XF413249,0.12,EDD BISWAN,Active
19,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD BISWAN,HARGAON_332323,INC-1,GURDAFA_33232310274GDF,33232310274GDF,11,OTHER,OTHERS,RURAL,SECURE,X0080876,0.04,EDD BISWAN,Active
20,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD BISWAN,BISWAN_332323,INC-1,MANPUR_33232310350MNR,33232310350MNR,11,OTHER,OTHERS,RURAL,SECURE,X221938,6,EDD BISWAN,Active
21,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD II SITAPUR,KHAIRABAD_30276,INC-1,LILIYAPUR_33232210276LLY,33232210276LLY,11,OTHER,OTHERS,TEHSIL,LNT,1570663,1,EDD II SITAPUR,Active
22,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD II SITAPUR,NAIPALAPUR_30277,INC-1,PANCHAMPURWA_33232210277PMW,33232210277PMW,11,OTHER,OTHERS,RURAL,SECURE,SS17134083,1,EDD II SITAPUR,Active
23,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD II SITAPUR,NAIPALAPUR_30277,INC-1,PANCHAMPURWA_33232210277PMW,33232210277PMW,11,OTHER,OTHERS,RURAL,SECURE,SS17134083,1,EDD II SITAPUR,Active
24,MADHYANCHAL,L.E.S.A. CG-I,EUDC VII LESA,KANPUR ROAD,NEW ALAMBAGH_30116,INC-3,BAKSHI PALACE_31267210116BPL,31267210116BPL,11,OTHER,DISTRICT HQ,URBAN,SECURE,X2165515,30,KANPUR ROAD,Active
25,MADHYANCHAL,L.E.S.A. CG-I,EUDC VII LESA,VRINDAVAN,RAJNI KHAND_30117,INC-1,SECTOR P_31267310117SCT,31267310117SCT,11,OTHER,DISTRICT HQ,URBAN,SECURE,UMV89031,1,VRINDAVAN,Active
26,MADHYANCHAL,L.E.S.A. CG-I,EUDC VII LESA,VRINDAVAN,RAJNI KHAND_30117,INC-1,INDIAN BANK_31267310117IDB,31267310117IDB,11,OTHER,DISTRICT HQ,URBAN,SECURE,NA,1,VRINDAVAN,Active
27,MADHYANCHAL,L.E.S.A. CG-I,EUDC VII LESA,KANPUR ROAD,SHAKTI CHAURAHA_34085,INC-1,CMS_31267224085CMS,31267224085CMS,11,INDEPENDENT,DISTRICT HQ,URBAN,SECURE,Q0827822,10,KANPUR ROAD,Active
28,MADHYANCHAL,DEVI PATAN,EDC BALRAMPUR,EDD TULSIPUR,HARRAYA SATGHARWA_355133,INC-1,BARDAULIYA_35513120181BDL,35513120181BDL,11,OTHER,OTHERS,RURAL,SECURE,SS17234395,2,EDD TULSIPUR,Active
29,MADHYANCHAL,DEVI PATAN,EDC BALRAMPUR,EDD SRAVASTI,GHOLIYA_355132,INC-1,SONPATHRI_35492210435SPT,35492210435SPT,11,OTHER,OTHERS,RURAL,SECURE,X2352044,2,EDD SRAVASTI,Active
30,MADHYANCHAL,DEVI PATAN,EDC BALRAMPUR,EDD BALRAMPUR,BALRAMPUR_30017,INC-2,DM AWAS_35513110017DMA,35513110017DMA,11,OTHER,DISTRICT HQ,URBAN,SECURE,X2144532,60,EDD BALRAMPUR,Active
