S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
2499,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD BILASPUR,BHOT_120544,INC-3,SANAYYA CHAK_12054291294SAY,12054291294SAY,11,MIXED ABOVE 50%,OTHERS,RURAL,SECURE,XC422567,1,EDD BILASPUR,Active
2500,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD BILASPUR,ASHOK NAGAR_120544,INC-1,SHIV NAGAR-K PTW_12054291297SHI,12054291297SHI,11,MIXED ABOVE 50%,OTHERS,RURAL,L and G,U0238191,0.04,EDD BILASPUR,Active
2501,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD II RAMPUR,TANDA_120542,INC-1,TAHIR AGRO(RICE MILL) PTW_12054291313TAH,12054291313TAH,11,INDEPENDENT,OTHERS,RURAL,SECURE,X1124805,1,EDD II RAMPUR,Active
2502,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD II RAMPUR,MILAK KHANAM_120542,INC-2,SIRKARI_12054291299SIR,12054291299SIR,11,MIXED ABOVE 50%,OTHERS,RURAL,SECURE,X2249854,1,EDD II RAMPUR,Active
2503,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD II RAMPUR,SWAR_120542,INC-2,NARPAT NAGAR_12054291301NAR,12054291301NAR,11,MIXED ABOVE 50%,OTHERS,RURAL,SECURE,UMV89356,2,EDD II RAMPUR,Active
2504,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD II RAMPUR,KHOD_120542,INC-2,MENTHA_12054291298MEN,12054291298MEN,11,MIXED ABOVE 50%,OTHERS,RURAL,SECURE,X2206433,1,EDD II RAMPUR,Active
2505,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD BILASPUR,KUA KHEDA_120544,INC-1,MULLAKHEDA_12054291308MUL,12054291308MUL,11,MIXED ABOVE 50%,OTHERS,RURAL,SECURE,UPP42304,1,EDD BILASPUR,Active
2506,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD I RAMPUR,PANWARIYA_10140,INC-2,BAREILLY GATE II_12054130140BG2,12054130140BG2,11,MIXED ABOVE 50%,DISTRICT HQ,URBAN,SECURE,XC408341,2,EDD I RAMPUR,Active
2507,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD MILAK,MILAK_11316,INC-2,DREAM CITY_14005411316DRC,14005411316DRC,11,MIXED ABOVE 50%,OTHERS,RURAL,SECURE,X1124977,1,EDD MILAK,Active
2508,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD MILAK,MILAK_11316,INC-2,TOWN 2_14005411316TW2,14005411316TW2,11,MIXED ABOVE 50%,TEHSIL HQ,IPDS,SECURE,UPU23687,0.06,EDD MILAK,Active
