S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
1,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD V GHAZIABAD,CHARAN SINGH COLONY_10434,INC-1,M BLOCK_15091310434BLM,15091310434BLM,11,OTHER,DISTRICT HQ,URBAN,SECURE,UPP42501,1,EUDD V GHAZIABAD,Active
2,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD I SHAMLI,SIKANDERPUR_137454,INC-2,RANGANA PTW II_13745490634RGP,13745490634RGP,11,AGRICULTURE,OTHERS,RURAL,SECURE,SS17093235,1,EDD I SHAMLI,Active
3,PASCHIMANCHAL,BULANDSHAHAR,EDC I BULANDSHAHAR,EUDD BULANDSHAHAR,NO 4 DM ROAD_10212,INC-3,POLICE LINE_16111410212POL,16111410212POL,11,OTHER,DISTRICT HQ,URBAN,LNT,15046546,1,EUDD BULANDSHAHAR,Active
4,PASCHIMANCHAL,BULANDSHAHAR,EDC I BULANDSHAHAR,EDD KHURJA,PALRA_161111,INC-2,SHRI RAM ICE_16111190940SRI,16111190940SRI,11,INDEPENDENT,OTHERS,RURAL,SECURE,X1331700,2,EDD KHURJA,Active
5,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,SECTOR 65_10051,INC-1,FEEDER 3_14101110051F03,14101110051F03,11,OTHER,OTHERS,TEHSIL,HPL,251886,0.08,EUDD I NOIDA,Active
6,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,SECTOR 63 G BLOCK_10050,INC-3,FEEDER NO 10_14101110050F10,14101110050F10,11,OTHER,TEHSIL HQ,TEHSIL,SECURE,UMV90986,1,EUDD I NOIDA,Active
7,PASCHIMANCHAL,GHAZIABAD-II,EDC LONI,EDD III LONI,DHARIPUR_150973,INC-2,NEW RISTAL_15097390963NRS,15097390963NRS,11,OTHER,OTHERS,RURAL,SECURE,X1986726,1,EDD III LONI,Active
8,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD I GHAZIABAD,BSR 3_10476,INC-2,F BLOCK_15091120476FBL,15091120476FBL,11,OTHER,DISTRICT HQ,URBAN,SECURE,UPU25226,0.06,EUDD I GHAZIABAD,Active
9,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD V GHAZIABAD,RATHI ISPAT_10290,INC-1,BHEEM NAGAR_15091320290BHM,15091320290BHM,11,OTHER,DISTRICT HQ,URBAN,SECURE,UPU25422,0.08,EUDD V GHAZIABAD,Active
10,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,SECTOR 63 C_11519,INC-2,FEEDER NO 6_14101141519F06,14101141519F06,11,OTHER,OTHERS,URBAN,SECURE,XD413220,2,EUDD I NOIDA,Active
