S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
2401,POORVANCHAL,GORAKHPUR-II,EDC MAHRAJGANJ,EDD NAUTANWA,NAUTANWA TEHSIL_435613,INC-1,JANTA CHOWK_43271410846JAN,43271410846JAN,11,OTHER,OTHERS,IPDS,LNT,14037029,1,EDD NAUTANWA,Active
2402,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD SHIKARIGANJ,GOLA_435723,INC-2,PARAULI_43573310907PAD,43573310907PAD,11,OTHER,OTHERS,RURAL,SECURE,X1085021,1,EDD SHIKARIGANJ,Active
2403,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD SHIKARIGANJ,DHURIYAPAR_435723,INC-1,DOABA_43573310906DOA,43573310906DOA,11,OTHER,OTHERS,RURAL,SECURE,UPH09281,0.02,EDD SHIKARIGANJ,Active
2404,POORVANCHAL,BASTI,EDC BASTI,EDD III BASTI,MUNDERWA_455423,INC-1,BARDAND_47532310563BAR,47532310563BAR,11,Other,OTHERS,RURAL,SECURE,X0972038,1,EDD III BASTI,Active
2405,POORVANCHAL,BASTI,EDC BASTI,EDD HARAIYA,AYODHYA PUM CANAL_455424,INC-1,AYODHYA PUMP CANAL_47532410578AYO,47532410578AYO,11,INDEPENDENT,OTHERS,RURAL,Secure,UPGE4357A,1,EDD HARAIYA,Active
2406,POORVANCHAL,BASTI,EDC BASTI,EDD HARAIYA,DUBAULIYA_455424,INC-1,BEMHARI_47532410580BEM,47532410580BEM,11,Other,OTHERS,RURAL,SECURE,X0440916,1,EDD HARAIYA,Active
2407,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD SIDHARTH NAGAR,KAKRAHAWA_455311,INC-1,KAKRAHAWA_47533211115KKR,47533211115KKR,11,Other,OTHERS,RURAL,SECURE,XC460276,1,EDD SIDHARTH NAGAR,Active
2408,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD SIDHARTH NAGAR,USKA BAZAR_455311,INC-2,USKA PTW_47533210810USA,47533210810USA,11,AGRICULTURE,OTHERS,IPDS,SECURE,XD487158,40,EDD SIDHARTH NAGAR,Active
2409,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD SIDHARTH NAGAR,BIRDPUR_455311,INC-1,JEETPUR_47533210808JEE,47533210808JEE,11,OTHER,OTHERS,RURAL,SECURE,X0394736,20,EDD SIDHARTH NAGAR,Active
2410,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD SIDHARTH NAGAR,NAUGARH_455311,INC-1,TOWN 2_47533210807TW2,47533210807TW2,11,OTHER,DISTRICT HQ,IPDS,SECURE,X0393062,40,EDD SIDHARTH NAGAR,Active
2411,POORVANCHAL,BASTI,EDC KHALILABAD,EDD KHALILABAD,HARIHARPUR_435323,INC-1,HARIHARPUR RURAL_47531110594HPR,47531110594HPR,11,OTHER,OTHERS,RURAL,SECURE,SS17075061,2,EDD KHALILABAD,Active
2412,POORVANCHAL,BASTI,EDC KHALILABAD,EDD KHALILABAD,MUKHLISHPUR_435323,INC-2,DHANGHATA_47531120593DHA,47531120593DHA,11,OTHER,TEHSIL HQ,RURAL,SECURE,X1358853,2,EDD KHALILABAD,Active
2413,POORVANCHAL,BASTI,EDC KHALILABAD,EDD KHALILABAD,INDUSTRIAL AREA_40584,INC-1,UTRAWAL_47531110584UTR,47531110584UTR,11,OTHER,OTHERS,IPDS,SECURE,X1585566,1,EDD KHALILABAD,Active
2414,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD IV GORAKHPUR,SHAHPUR_40136,INC-2,PAC_43571420136PAC,43571420136PAC,11,OTHER,DISTRICT HQ,URBAN,LNT,18017467,0.06,EUDD IV GORAKHPUR,Active
2415,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD IV GORAKHPUR,NEW RAPTI NAGAR_44037,INC-1,RAJ NAGAR_43571414037RJN,43571414037RJN,11,OTHER,DISTRICT HQ,URBAN,SECURE,X0374361,1,EUDD IV GORAKHPUR,Active
2416,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD III BAKRASHPUR,MOHADDIPUR_40137,INC-2,MOHADDIPUR-II_43571310137MO2,43571310137MO2,11,OTHER,DISTRICT HQ,URBAN,LNT,15077401,2,EUDD III BAKRASHPUR,Active
2417,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD III BAKRASHPUR,KHORABAR_40138,INC-2,ENG. COLLEGE_43571310138ENG,43571310138ENG,11,INDEPENDENT,DISTRICT HQ,URBAN,LNT,16042687,1,EUDD III BAKRASHPUR,Active
2418,POORVANCHAL,GORAKHPUR-I,EUDC GORAKHPUR,EUDD II BUXIPUR,VIKAS NAGAR_40135,INC-1,BUS CHARGING STATION_43571210131BCS,43571210131BCS,11,INDEPENDENT,OTHERS,URBAN,LNT,16042869,1,EUDD II BUXIPUR,Active
2419,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD BANSI,KHESHRAHA_435322,INC-1,ITI FEEDER_47533120804ITI,47533120804ITI,11,OTHER,OTHERS,RURAL,L AND T,14003094,1,EDD BANSI,Active
2420,POORVANCHAL,AZAMGARH,EDC II AZAMGARH,EDD VI AZAMGARH,MADIYAPAR_426033,INC-1,BHENDAURA_42602610244BND,42602610244BND,11,OTHER,OTHERS,RURAL,SECURE,X0151695,0.04,EDD VI AZAMGARH,Active
2421,POORVANCHAL,AZAMGARH,EDC II AZAMGARH,EDD VI AZAMGARH,BURHANPUR TAHSHIL_426033,INC-1,MAKHNAHA_42602610242MKH,42602610242MKH,11,OTHER,OTHERS,TEHSIL,SECURE,UPP42725,1,EDD VI AZAMGARH,Active
