S.No.,District
1,Aligarh
2,Ambedkar Nagar
3,Amethi
4,Amroha
5,Auraiya
6,Ayodhya
7,Azamgarh
8,Baghpat
9,Ballia
10,Balrampur
11,Banda
12,Barabanki
13,Bareilly
14,Basti
15,Behraich
16,Bhadohi
17,Bijnore
18,Budaun
19,Bulandshahar
20,Chandauli
21,Chitrakoot
22,Deoria
23,Etah
24,Etawah
25,Farrukhabad
26,Fatehpur
27,Firozabad
28,Gautam Buddha Nagar
29,Gaziabad
30,Ghazipur
31,Gonda
32,Gorakhpur
33,Hamirpur
34,Hapur
35,Hardoi
36,Hathras
37,Jalaun
38,Jaunpur
39,Jhansi
40,Kannauj
41,Kanpur Dehat
42,Kanpur Nagar
43,Kashganj
44,Kaushambi
45,Kushinagar
46,Lakhimpur
47,Lalitpur
48,Lucknow
49,Maharajganj
50,Mahoba
51,Mainpuri
52,Mathura
53,Mau
54,Meerut
55,Mirzapur
56,Moradabad
57,Muzaffarnagar
58,Pilibhit
59,Pratapgarh
60,Prayagraj
61,Raebareli
62,Rampur
63,Saharanpur
64,Sambhal
65,Sant Kabir Nagar
66,Shahjahanpur
67,Shamli
68,Shravasti
69,Siddharthnagar
70,Sitapur
71,Sonebhadra
72,Sultanpur
73,Unnao
74,Varanasi
75,Agra
