S.No.,Zone,Circle,Division,Substation,FeederBay,Energy Meter Serial No.,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
1,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,40 MVA TRANSFORMER 1,UP0025A,T-D,June,2024,0,8411.28,,,,
2,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,40 MVA TRANSFORMER 2,UP1756A,T-D,June,2024,0,8671.2,,,,
3,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,40 MVA TRANSFORMER 3,UPGE4336A,T-D,June,2024,0,8302.68,,,,
4,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 NANPARA TEHSEEL,X1215254,T-D,June,2024,0,3859.6,NANPARA_30065,7655.79,EDD NANPARA,MADHYANCHAL
5,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV BABAGANJ,X1215175,T-D,June,2024,0,2431,BEHDA_354922,1229.82,EDD NANPARA,MADHYANCHAL
,,,,,,,,,,,,SAHABA BABAGANJ_34235,3699.36,EDD NANPARA,MADHYANCHAL
7,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV MOTIPUR,X1215251,T-D,June,2024,0,5332.6,MOTIPUR_354922,5332.59,EDD NANPARA,MADHYANCHAL
8,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV JACK BUS,7008019,T-D,June,2024,0,2498.2,,,,
9,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV RAIBOJHA,X1215226,T-D,June,2024,0,1873.2,RAIBOJHA_354922,1873.11,EDD NANPARA,MADHYANCHAL
10,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV MATERA,7008035,T-D,June,2024,0,17.4,KATILIYA CHAURAHA_354922,999,EDD NANPARA,MADHYANCHAL
,,,,,,,,,,,,MATERA_354922,2137,EDD NANPARA,MADHYANCHAL
12,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV NAWABGANJ,13195221,T-D,June,2024,0,2344.7,NAWABGANJ_354922,2344.7,EDD NANPARA,MADHYANCHAL
13,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV BANJARANTANDA,7008013,T-D,June,2024,0,3067.8,BANJARAN TANDA (TAHSEEL MUKHYALAY)_354922,3067.74,EDD NANPARA,MADHYANCHAL
14,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV MAHASI TEHSEEL,13195276,T-D,June,2024,0,0,MAHSI_354922,3913.06,EDD NANPARA,MADHYANCHAL
,,,,,,,,,,,,MAHSI TAHSEEL_354922,970.68,EDD NANPARA,MADHYANCHAL
16,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV SSB CAMP,UPGE4144A,T-D,June,2024,0,64.99,,,,
17,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,33 KV NEPALGANJ,5100279,T-D,June,2024,0,0,,,,
18,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,Nanpara Town,13195244,T-D,June,2024,0,3796.2,,,,
19,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S BHINGA,40 MVA TRANSFORMER 1,UP-7712A,T-D,June,2024,0,0,,,,
20,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S BHINGA,40 MVA TRANSFORMER 2,ASH05797,T-D,June,2024,0,0,,,,
21,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S BHINGA,33 KV BHINGA,ABB04753,T-D,June,2024,0,9451,BHINGA_355132,5586.4,EDD SRAVASTI,MADHYANCHAL
,,,,,,,,,,,,GHOLIYA_355132,2808.6,EDD SRAVASTI,MADHYANCHAL
,,,,,,,,,,,,BHINGA IPDS_355132,1056,EDD SRAVASTI,MADHYANCHAL
24,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S BHINGA,33 KV IKAUNA,ABB04736,T-D,June,2024,0,5882,SITADWAR_355132,3106.52,EDD SRAVASTI,MADHYANCHAL
,,,,,,,,,,,,KATRA_355132,1996.28,EDD SRAVASTI,MADHYANCHAL
,,,,,,,,,,,,MADHYANAGAR_355132,665.9,EDD SRAVASTI,MADHYANCHAL
,,,,,,,,,,,,SUB-STATION IKAUNA_355132,1879.7,EDD SRAVASTI,MADHYANCHAL
28,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S BHINGA,33 KV BAUDH STOOP,ABB04724,T-D,June,2024,0,1569,,,,
29,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S BHINGA,33 KV URLEHWA,ABB04728,T-D,June,2024,0,2885,BHANGAHA_355132,1951.3,EDD SRAVASTI,MADHYANCHAL
,,,,,,,,,,,,LAXMAN NAGAR_355132,933.7,EDD SRAVASTI,MADHYANCHAL
31,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S BHINGA,33 KV JACKBUS,ABB04745,T-D,June,2024,0,66,,,,
32,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S BHINGA,33 KV COURT,ABB04747,T-D,June,2024,0,29,,,,
33,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S BHINGA,33 KV LAXAMANPUR,ABB04730,T-D,June,2024,0,1773,LAXSHMAN PUR BAZAAR_355132,1295,EDD SRAVASTI,MADHYANCHAL
34,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV METRO CITY,EX485220,T-D,June,2024,0,469.83,,,,
35,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV SAHARAGANJ FEEDER,EX485221,T-D,June,2024,0,904.7,,,,
36,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV JAWAHAR BHAWAN,EX 485233,T-D,June,2024,0,4617.8,JAWAHAR BHAWAN_30101,4147.24,RAJ BHAWAN,MADHYANCHAL
37,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV DALIBAGH,EX 485230,T-D,June,2024,0,1869.2,DALIBAGH_30105,8290.47,RAJ BHAWAN,MADHYANCHAL
38,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV O.C.R.,EX 485232,T-D,June,2024,0,3757.6,OCR_30094,2526.6,HUSSAIN GANJ,MADHYANCHAL
,,,,,,,,,,,,DALIBAGH_30105,8290.47,RAJ BHAWAN,MADHYANCHAL
40,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV DARULSAFA FEEDER,EX 485207,T-D,June,2024,0,5096,DARUL SHAFA_30096,5531.04,HUSSAIN GANJ,MADHYANCHAL
41,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV RACE COURSE,EX 485231,T-D,June,2024,0,4856.8,,,,
42,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV JACK BUS,EX 485222,T-D,June,2024,0,792.8,,,,
43,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV LAW MART FEEDER,EX 485209,T-D,June,2024,0,117.23,,,,
44,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV RAJ BHAWAN FEEDER,EX 485198,T-D,June,2024,0,1110,RAJ BHAWAN_30104,1988,RAJ BHAWAN,MADHYANCHAL
45,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV VIDHAN SABHA,EXUPP40666,T-D,June,2024,0,0,VS MARG_34173,5522.6,HUSSAIN GANJ,MADHYANCHAL
,,,,,,,,,,,,VS MARG_34173,5522.6,HUSSAIN GANJ,MADHYANCHAL
47,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV LAPLASH FEEDER,EX 484196,T-D,June,2024,0,5533.4,CLYDE ROAD_30106,2644.84,RAJ BHAWAN,MADHYANCHAL
,,,,,,,,,,,,LA PLASS_34134,2279.4,RAJ BHAWAN,MADHYANCHAL
49,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV NEW SACHIVALAY FEEDER,EX485195,T-D,June,2024,0,529.6,,,,
50,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33KV VIKRAMADITYA MARG FEEDER,X1944058,T-D,June,2024,0,543.65,VIKRAMADITYA MARG_34233,981.7,RAJ BHAWAN,MADHYANCHAL
51,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,33 KV COOPER ROAD,X1944145,T-D,June,2024,0,1224.8,,,,
52,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV URDU UNIVERCITY,UPP26179,T-D,June,2024,0,114.27,,,,
53,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV ALIGANJ,5130790,T-D,June,2024,0,4323.56,GOYEL CHAURAHA_34176,4014,DALIGANJ,MADHYANCHAL
54,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV ELDICO CITY,UPP26282,T-D,June,2024,0,1073.04,ELDECO CITY_34177,1073,BAKSHI KA TALAB,MADHYANCHAL
55,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV IIM,5130783,T-D,June,2024,0,3855.82,RCM ROAD_34182,3856,BAKSHI KA TALAB,MADHYANCHAL
56,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV FAIZULLAH GANJ,5249762,T-D,June,2024,0,9851.8,FAIZULLAGANJ_34172,9732,SITAPUR ROAD,MADHYANCHAL
57,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV BAURU MAU,X0372811,T-D,June,2024,0,5359.4,DAUD NAGAR_34224,3702,SITAPUR ROAD,MADHYANCHAL
58,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),33 KV SHALIMAR KSMB,X0372748,T-D,June,2024,0,477,SHALIMAR GARDEN_34179,477,BAKSHI KA TALAB,MADHYANCHAL
59,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,132KV S/S BANDAA,33 KV BANDA,UPP59690,T-D,June,2024,0,7281.2,BANDA_342134,10505.62,EDD POWAYAN,MADHYANCHAL
60,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,132KV S/S BANDAA,33 KV KHUTAR,UPP59689,T-D,June,2024,0,6328.4,KURIYA_342042,1606.1,EDD PURANPUR,MADHYANCHAL
,,,,,,,,,,,,KHUTAR_342134,8083.33,EDD POWAYAN,MADHYANCHAL
,,,,,,,,,,,,RAMPUR KALAN_342134,11319.96,EDD POWAYAN,MADHYANCHAL
63,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,132KV S/S BANDAA,33 KV DHAKA,UPP59681,T-D,June,2024,0,2150,DHAKA_342134,2139.25,EDD POWAYAN,MADHYANCHAL
64,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,132KV S/S BANDAA,33 KV NANAKPURI,UPP59688,T-D,June,2024,0,2790,NANKPURI_342134,2790,EDD POWAYAN,MADHYANCHAL
65,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,132KV S/S BANDAA,33 KV TRANSFER BUS COUPLER,UPP59685,T-D,June,2024,0,0,,,,
66,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,220KV S/S AZIZPUR,33 KV AWAS VIKAS,,T-D,June,2024,0,0,AWAS VIKAS_342133,2199.65,EDD I SHAJAHANPUR,MADHYANCHAL
67,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,220KV S/S AZIZPUR,33 KV MEDICAL COLLEGE FEEDER,XH431349,T-D,June,2024,77.8,45.8,,,,
68,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,220KV S/S AZIZPUR,132/33KV 40MVA T/F-Ist,UP-5094-A,T-D,June,2024,0.05,999.12,,,,
69,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,220KV S/S AZIZPUR,132/33KV 40MVA T/F-IInd,UPP69244,T-D,June,2024,0.24,5654.16,,,,
70,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,220KV S/S AZIZPUR,33 KV AWAS VIKASS,XH431345,T-D,June,2024,0,6688.8,,,,
71,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,220KV S/S AZIZPUR,33KV Jamour Feeder,XH431316,T-D,June,2024,0,1.2,,,,
72,CENTRAL,ETC Shahjahanpur,ETD Sitapur,132KV S/S MAHAMUDABAD,33 kv Mahamudabad tehsil,XC530792,T-D,June,2024,0,3314,MAHDUMMY_332324,3314,EDD MAHMUDABAD,MADHYANCHAL
73,CENTRAL,ETC Shahjahanpur,ETD Sitapur,132KV S/S MAHAMUDABAD,33 kv Mahamudabad Rural,XC476414,T-D,June,2024,0,47268,MAHMUDABAD RURAL_332324,2268,EDD MAHMUDABAD,MADHYANCHAL
,,,,,,,,,,,,KANCHANPUR_332324,1800,EDD MAHMUDABAD,MADHYANCHAL
75,CENTRAL,ETC Shahjahanpur,ETD Sitapur,132KV S/S MAHAMUDABAD,33 kv Pokhara Kala,XC530794,T-D,June,2024,0,1486,POKHRAKALAN_332324,1000,EDD MAHMUDABAD,MADHYANCHAL
,,,,,,,,,,,,KEDARPUR_332324,486,EDD MAHMUDABAD,MADHYANCHAL
77,CENTRAL,ETC Shahjahanpur,ETD Sitapur,132KV S/S MAHAMUDABAD,33 kv Rampur Mathura,XC530795,T-D,June,2024,0,2255,RAMPUR MATHURA_332324,2255,EDD MAHMUDABAD,MADHYANCHAL
78,CENTRAL,ETC Shahjahanpur,ETD Sitapur,132KV S/S MAHAMUDABAD,33 kv Paitepur,XC476416,T-D,June,2024,0,511,PAINTEPUR_332324,511,EDD MAHMUDABAD,MADHYANCHAL
79,CENTRAL,ETC Shahjahanpur,ETD Sitapur,132KV S/S MAHAMUDABAD,33 kv Bus Coupler,XC530940,T-D,June,2024,0,0,,,,
80,CENTRAL,ETC Shahjahanpur,ETD Sitapur,132KV S/S MAHAMUDABAD,33 kv Dewariya,XC476413,T-D,June,2024,0,2445,DEWARIYA_332324,1300,EDD MAHMUDABAD,MADHYANCHAL
,,,,,,,,,,,,SARAIYA KADIPUR_332324,1145,EDD MAHMUDABAD,MADHYANCHAL
82,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,132 KV TSS Railway line,UPS98066,T-D,June,2024,34.08,2739.12,,,,
83,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Kurebhar line,14191864,T-D,June,2024,0,7930.4,KUREBHAR_324845,2491.6,EDD JAISINGHPUR,MADHYANCHAL
84,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV T.P. Nagar line,14191844,T-D,June,2024,0,9743.8,TRANSPORT NAGAR_30179,9451.48,EDD I SULTANPUR,MADHYANCHAL
85,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Complaint Booth line,14191846,T-D,June,2024,0,10297.8,COMPLAIN BOOTH_30738,9988.86,EDD I SULTANPUR,MADHYANCHAL
86,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Distt. Court line,14192500,T-D,June,2024,0.1,0,,,,
87,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Dariyapur line,14192424,T-D,June,2024,0,8550,DARIYAPUR_30178,8293.5,EDD I SULTANPUR,MADHYANCHAL
88,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Faridipur line,14192472,T-D,June,2024,0,1967.2,FARIDIPUR_324841,1810,EDD I SULTANPUR,MADHYANCHAL
89,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Bhadaiya line,13195234,T-D,June,2024,0,2405.6,BHADHAIYAN_324841,2226.1,EDD I SULTANPUR,MADHYANCHAL
90,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Distt. Hospital line,13195272,T-D,June,2024,0,0,,,,
91,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV K.N.I. line,13195230,T-D,June,2024,0,8218.4,KNIT_30177,6641,EDD I SULTANPUR,MADHYANCHAL
92,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Ramganj line,XD508948,T-D,June,2024,0,8063.8,RAMGANJ_324843,4033.62,EDD LAMBHUA,MADHYANCHAL
93,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Asroga line,XC599515,T-D,June,2024,0,7445.4,,,,
