Sr.No.,Zone,Circle
1,CENTRAL,ETC Bareilly
2,CENTRAL,ETC Gonda
3,CENTRAL,ETC Lucknow-I
4,CENTRAL,ETC Lucknow-II
5,CENTRAL,ETC Shahjahanpur
6,CENTRAL,ETC Sultanpur
7,CENTRAL,PPP-ATL(C)
8,CENTRAL,PPP-SEUPPTCL(C)
9,CENTRAL,PPP-PG(C)
10,NORTH-EAST,ETC Azamgarh
11,NORTH-EAST,ETC Basti
12,NORTH-EAST,ETC Gorakhpur
13,SOUTH-CENTRAL,ETC Banda
14,SOUTH-CENTRAL,ETC Jhansi
15,SOUTH-EAST,ETC Varanasi-II
16,SOUTH-EAST,ETC Mirzapur
17,SOUTH-EAST,ETC Prayagraj-I
18,SOUTH-EAST,ETC Prayagraj-II
19,SOUTH-EAST,ETC Varanasi
20,SOUTH-EAST,PPP-SEUPPTCL(SW)
21,SOUTH-WEST,ETC Agra
22,SOUTH-WEST,ETC Aligarh
23,SOUTH-WEST,ETC Kanpur-I
24,SOUTH-WEST,ETC Mathura
25,SOUTH-WEST,ETC Kanpur-II
26,SOUTH-WEST,PPP-SEUPPTCL(SW)
27,SOUTH-WEST,PPP-PG(SW)
28,WEST,ETC Ghaziabad
29,WEST,ETC Gr.Noida
30,WEST,ETC Meerut
31,WEST,ETC Moradabad-I
32,WEST,ETC Morodabad-II
33,WEST,ETC Muzaffarnagar
34,WEST,ETC Noida
35,WEST,PPP-PG(W)
36,WEST,PPP-WUPPTCL(W)
