S.No.,Zone,Circle,Division,Substation,Feeder/Bay,Energy Meter Serial No.,Interface Type,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
1,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,TBC,Y0197639,T-D,June,2024,0,14.8,,,,
2,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,JONIHA,ABB04320,T-D,June,2024,0,1916,,,,
3,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,BAHUA,ABB04322,T-D,June,2024,0,6745,,,,
4,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,BINDKI RURAL,ABB04328,T-D,June,2024,0,5114,,,,
5,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,JAFARGANJ,ABB04330,T-D,June,2024,0,0,,,,
6,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,BINDKI TEHSEEL,ABB04339,T-D,June,2024,0,3385,,,,
7,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,40 MVA T/F-I,ASH05780,T-D,June,2024,0,9955.68,BAHUA_444131,5330.1,EDD I FATEHPUR,POORVANCHAL
,,,,,,,,,,,,BINDKI ROAD_444132,7508,EDD II FATEHPUR,POORVANCHAL
,,,,,,,,,,,,JUNIHA_444132,1916,EDD II FATEHPUR,POORVANCHAL
10,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,40 MVA T/F-II,ASH05782,T-D,June,2024,0,9951.12,BINDKI_444132,5114,EDD II FATEHPUR,POORVANCHAL
,,,,,,,,,,,,JAFERGANJ_444132,2025,EDD II FATEHPUR,POORVANCHAL
,,,,,,,,,,,,BINDKI TAHSIL_40159,3385,EDD II FATEHPUR,POORVANCHAL
13,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,33 KV SPARE BAY,Y0197557,T-D,June,2024,0,2803.2,,,,
14,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S BINDAKI,20 MVA T/F-III,UP-9222A,T-D,June,2024,0,0,,,,
15,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV NAURANGA,X1186265,T-D,June,2024,0,2191.2,BHADWARA_24379,2191.2,EDD GHATAMPUR,DAKSHINANCHAL
16,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV AMAULI,X1186243,T-D,June,2024,0,3762,,,,
17,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV KALANA,X1186244,T-D,June,2024,0,516.12,,,,
18,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV BAKEWAR,UPP39492,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
20,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV JAHANABAD DEHAT,UPP39559,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
22,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV BABAI,UP070493,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
24,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,DAPSAURA PUMP CANAL,UPP39576,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
26,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV CHANDPUR,UPP39575,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
28,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,40 MVA T/F 1st,UP-0015A,T-D,June,2024,0,9485.28,BAKEWAR_444132,2492,EDD II FATEHPUR,POORVANCHAL
,,,,,,,,,,,,CHANDPUR_444132,1779,EDD II FATEHPUR,POORVANCHAL
,,,,,,,,,,,,DEOMAI_444132,1170,EDD II FATEHPUR,POORVANCHAL
,,,,,,,,,,,,JAHANABAD_444132,4898.2,EDD II FATEHPUR,POORVANCHAL
32,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,40 MVA T/F 2nd,UP-1447A,T-D,June,2024,0,1439.52,AMAULI_444132,3762,EDD II FATEHPUR,POORVANCHAL
,,,,,,,,,,,,BABAI_444132,930,EDD II FATEHPUR,POORVANCHAL
34,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33 KV JAHANABAD TOWN NEW,UPP39574,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
36,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S JAHANABAD,33KV TRANSFER BUS COUPLER,UPP39576,T-D,June,2024,0,0,,,,
37,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,63MVA T/F I,UP-1571A,T-D,June,2024,0,15108.12,DHATA_444133,3180,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,HATHGAON_444133,4947,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,KHAGA_444133,4851,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,KHAKHRERU_444133,4703,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,RASULPURSANI_444133,2086,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,KHAGA TAHSEEL_444133,3644,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,DHATA_444133,3180,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,HATHGAON_444133,4947,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,KHAGA_444133,4851,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,KHAKHRERU_444133,4703,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,RASULPURSANI_444133,2086,EDD KHAGA,POORVANCHAL
,,,,,,,,,,,,KHAGA TAHSEEL_444133,3644,EDD KHAGA,POORVANCHAL
49,SOUTH-EAST,ETC Prayagraj-I,ETD Fatehpur,132KV S/S KHAGA,63MVA T/F II,UP-0035A,T-D,June,2024,0,15502.08,PALIYA BUJURG_444133,3225,EDD KHAGA,POORVANCHAL
