S.No,Discom,Zone,Circle,Division,,
1,MADHYANCHAL,L.E.S.A. CG-II,EUDC III LESA,AISHBAGH,,  
2,MADHYANCHAL,L.E.S.A. CG-I,EUDC VII LESA,ALAMBAGH,,  
3,KESCO,KESCO,CIRCLE I,ALOO MANDI,,  
4,MADHYANCHAL,L.E.S.A. CG-II,EUDC I LESA,AMINABAD,,  
5,MADHYANCHAL,L.E.S.A. TG-I,EUDC X LESA,BAKSHI KA TALAB,,  
6,MADHYANCHAL,L.E.S.A. CG-I,EUDC IV LESA,CESS IV,,  
7,MADHYANCHAL,L.E.S.A. CG-I,EUDC IV LESA,CESS-I,,  
8,MADHYANCHAL,L.E.S.A. CG-I,EUDC IV LESA,CESS-II,,  
9,MADHYANCHAL,L.E.S.A. CG-I,EUDC IV LESA,CESS-III,,  
10,MADHYANCHAL,L.E.S.A. TG-II,EUDC II LESA,CHINHAT,,  
11,MADHYANCHAL,L.E.S.A. CG-II,EUDC VIII LESA,CHOWK,,  
12,KESCO,KESCO,CIRCLE II,DADA NAGAR,,  
13,KESCO,KESCO,CIRCLE III,DAHELI SUJANPUR,,  
14,MADHYANCHAL,L.E.S.A. TG-I,EUDC X LESA,DALIGANJ,,  
15,MADHYANCHAL,AYODHYA,EDC AMBEDKAR NAGAR,EDD ALAPUR,,  
16,MADHYANCHAL,AYODHYA,EDC AMBEDKAR NAGAR,EDD AMBEDKARNAGAR,,  
17,MADHYANCHAL,AYODHYA,EDC GAURIGANJ,EDD AMETHI,,  
18,POORVANCHAL,GORAKHPUR-II,EDC MAHRAJGANJ,EDD ANAND NAGAR,,  
19,MADHYANCHAL,BAREILLY-I,EDC BAREILLY,EDD AONLA,,  
20,DAKSHINANCHAL,BANDA,EDC BANDA,EDD ATARRA,,  
21,DAKSHINANCHAL,KANPUR-II,EDC AURAIYA,EDD AURAIYA,,  
22,PASCHIMANCHAL,MORADABAD,EDC SAMBHAL,EDD BABRALA,,  
23,DAKSHINANCHAL,AGRA,EDC FATEHABAD,EDD BAH,,  
24,MADHYANCHAL,BAREILLY-I,EDC BAREILLY,EDD BAHERI,,  
25,MADHYANCHAL,DEVI PATAN,EDC BAHRAICH,EDD BAHRAICH,,  
26,MADHYANCHAL,DEVI PATAN,EDC BALRAMPUR,EDD BALRAMPUR,,  
27,DAKSHINANCHAL,BANDA,EDC BANDA,EDD BANDA,,  
28,POORVANCHAL,AZAMGARH,EDC BALLIA,EDD BANSDIH,,  
29,POORVANCHAL,BASTI,EDC SIDDHARTHA NAGAR,EDD BANSI,,  
30,MADHYANCHAL,AYODHYA,EDC BARABANKI,EDD BARABANKI,,  
31,POORVANCHAL,GORAKHPUR-II,EDC DEORIA,EDD BARHAJ,,  
32,PASCHIMANCHAL,SAHARANPUR,EDC I SAHARANPUR,EDD BEHAT,,  
33,POORVANCHAL,MIRZAPUR,EDC BHADOHI,EDD BHADOHI,,  
34,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD BILASPUR,,  
35,MADHYANCHAL,BAREILLY-II,EDC PILIBHIT,EDD BISALPUR,,  
36,MADHYANCHAL,BAREILLY-II,EDC BADAUN,EDD BISAULI,,  
37,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD BISWAN,,  
38,PASCHIMANCHAL,MUZAFFARNAGAR,EDC II MUZAFFARNAGAR,EDD BUDHANA,,  
39,POORVANCHAL,GORAKHPUR-I,EDC I GORAKHPUR,EDD CAMPIEARGANJ,,  
40,POORVANCHAL,VARANASI-II,EDC CHANDAULI,EDD CHANDAULI,,  
41,PASCHIMANCHAL,MORADABAD,EDC SAMBHAL,EDD CHANDAUSI,,  
42,POORVANCHAL,GORAKHPUR-I,EDC I GORAKHPUR,EDD CHAURI CHAURA,,  
43,POORVANCHAL,PRAYAGRAJ-II,EDC KAUSHAMBHI,EDD CHAYAL,,  
44,DAKSHINANCHAL,KANPUR-II,EDC KANNAUJ,EDD CHHIBRAMAU,,  
45,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD CHIRAIGAON,,  
46,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD CHUNAR,,  
47,MADHYANCHAL,RAEBARELI,EDC II RAEBARELI,EDD DALMAU,,  
48,PASCHIMANCHAL,BULANDSHAHAR,EDC III BULANDSHAHAR,EDD DEBAI,,  
