S.No.,Zone,Circle,Division,Substation,FeederBay,Energy Meter Serial No.,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
1,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S BHEEMNAGARI,33 KV JACK BUS,7041855,T-D,June,2024,0,0,,,,
2,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S BHEEMNAGARI,33 KV JALMA,7041849,T-D,June,2024,0,6810.2,,,,
3,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S BHEEMNAGARI,33 KV VIBHAV NAGAR,7041846,T-D,June,2024,0,8777.6,,,,
4,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S BHEEMNAGARI,33 KV SHAHID NAGAR,7360721,T-D,June,2024,0,7633.8,,,,
5,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S BHEEMNAGARI,33 KV BAMROLI KATARA,7360712,T-D,June,2024,0,5230.4,,,,
6,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,33KV DHIMSHREE,KAU06336,T-D,June,2024,0,6592.8,MAZARA_24665,1918,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,DHIMISHRI_24459,4632,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,NIBOHRA_24724,1904,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BEHADI_24369,1007,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,WAZIDPUR_24927,1342,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAHARAJPUR_24935,1962,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,GUBROTH_24501,1266,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BHADORA_24376,982,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,HIMAUPUR_24516,1873,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MURAVAL_24681,981,EDD III AGRA,DAKSHINANCHAL
16,SOUTH-WEST,ETC Agra,ETD Agra-I,132KV S/S FATEHABAD,33KV ROOPPUR,9577844,T-D,June,2024,0,4940.4,MAZARA_24665,1918,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,ROOPPUR_24805,2105,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,NIBOHRA_24724,1904,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BEHADI_24369,1007,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,WAZIDPUR_24927,1342,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MAHARAJPUR_24935,1962,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,GUBROTH_24501,1266,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,BHADORA_24376,982,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,HIMAUPUR_24516,1873,EDD III AGRA,DAKSHINANCHAL
,,,,,,,,,,,,MURAVAL_24681,981,EDD III AGRA,DAKSHINANCHAL
