S.No.,Zone,Circle,Division,Substation,FeederBay,Energy Meter Serial No.,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
1,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SALAVA,33 KV Sardhana Nahar.,10059070,T-D,June,2024,0,3254,SARDHANA_110742,3254,EDD II MEERUT,PASCHIMANCHAL
2,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SALAVA,33 KV BHAMOORI BAY.,10059214,T-D,June,2024,0,4486,,,,
3,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SALAVA,33 KV SALAWA BAY.,10059223,T-D,June,2024,0,2908,SALAWA_110742,2908,EDD II MEERUT,PASCHIMANCHAL
4,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SALAVA,33 KV KAPSAD BAY.,10059112,T-D,June,2024,0,3470,KAPSAD_110742,3470,EDD II MEERUT,PASCHIMANCHAL
5,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SALAVA,33 KV Brindavan Beverages.,UP4044A,T-D,June,2024,1778.75,7.08,,,,
6,WEST,ETC Meerut,ETD Meerut-II,132KV S/S RAMRAJ,33 KV CB-I RAMRAJ BAY,UPP 26421,T-D,June,2024,0,3055.92,MOREKHURD_110743,1733,EDD II MAWANA,PASCHIMANCHAL
,,,,,,,,,,,,RAMRAJ_130212,3056,EUDD II MUZAFFARNAGAR,PASCHIMANCHAL
8,WEST,ETC Meerut,ETD Meerut-II,132KV S/S RAMRAJ,33 KV CB-III HASAMPUR BAY,10291399,T-D,June,2024,0,2214.1,HASMPUR_130212,955,EUDD II MUZAFFARNAGAR,PASCHIMANCHAL
,,,,,,,,,,,,KITHODA_11465,1259,EUDD II MUZAFFARNAGAR,PASCHIMANCHAL
10,WEST,ETC Meerut,ETD Meerut-II,132KV S/S RAMRAJ,33 KV CB-4 KUNEHDA BAY,10291227,T-D,June,2024,0,1485,KUNHEDA_110743,1485,EDD II MAWANA,PASCHIMANCHAL
11,WEST,ETC Meerut,ETD Meerut-II,132KV S/S RAMRAJ,33 KV CB- 07 kASAMPUR KHOLA BAY,5267679,T-D,June,2024,0,1997.38,KASAMPUR KHOLA_130212,2206,EUDD II MUZAFFARNAGAR,PASCHIMANCHAL
12,WEST,ETC Meerut,ETD Meerut-II,132KV S/S RAMRAJ,33 KV CB-II MORE KURDH BAY,10291377,T-D,June,2024,0,1733,,,,
13,WEST,ETC Meerut,ETD Meerut-II,132KV S/S RAMRAJ,33 KV CB - 8 BUS COUPLER,5267682,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
18,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SARDHANA,33KV Chhur Feeder,9576904,T-D,June,2024,0,0,CHHUR_110742,4217,EDD II MEERUT,PASCHIMANCHAL
,,,,,,,,,,,,CHHUR_110742,4217,EDD II MEERUT,PASCHIMANCHAL
20,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SARDHANA,33KV Gotka Feeder,7033560,T-D,June,2024,0,0,GOTKA_110742,2944,EDD II MEERUT,PASCHIMANCHAL
,,,,,,,,,,,,MAHADEV_110742,1581,EDD II MEERUT,PASCHIMANCHAL
,,,,,,,,,,,,GOTKA_110742,2944,EDD II MEERUT,PASCHIMANCHAL
,,,,,,,,,,,,MAHADEV_110742,1581,EDD II MEERUT,PASCHIMANCHAL
24,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SARDHANA,33KV Pooth Feeder,5267352,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
26,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SARDHANA,33KV Bus Coupler Bay,5267343,T-D,June,2024,0,0,,,,
27,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SARDHANA,33KV Bhola Feeder,9577008,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
29,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SARDHANA,33KV Sardhana Town,7033900,T-D,June,2024,0,0,JAGRATI VIHAR YOJNA 13_11521,170,EUDD II MEERUT,PASCHIMANCHAL
,,,,,,,,,,,,SARDHANA_10144,6495,EDD II MEERUT,PASCHIMANCHAL
,,,,,,,,,,,,TEHSIL ROAD SARDHANA_10384,3073,EDD II MEERUT,PASCHIMANCHAL
,,,,,,,,,,,,JAGRATI VIHAR YOJNA 13_11521,170,EUDD II MEERUT,PASCHIMANCHAL
,,,,,,,,,,,,SARDHANA_10144,6495,EDD II MEERUT,PASCHIMANCHAL
,,,,,,,,,,,,TEHSIL ROAD SARDHANA_10384,3073,EDD II MEERUT,PASCHIMANCHAL
35,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SARDHANA,33KV Saroorpur Feeder,13195281,T-D,June,2024,0,0,SAROORPUR_110742,3478,EDD II MEERUT,PASCHIMANCHAL
,,,,,,,,,,,,SAROORPUR_110742,3478,EDD II MEERUT,PASCHIMANCHAL
37,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SARDHANA,33KV Nanu Feeder,13192303,T-D,June,2024,0,0,NANU_110742,2585,EDD II MEERUT,PASCHIMANCHAL
,,,,,,,,,,,,NANU_110742,2585,EDD II MEERUT,PASCHIMANCHAL
39,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SARDHANA,33KV Spare Bay,13192279,T-D,June,2024,0,0,,,,
,,,,,,,,,,,,,,,
41,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SARDHANA,33KV Paper-Mill Feeder,UPP68917,T-D,June,2024,0,1705.38,,,,
42,WEST,ETC Meerut,ETD Meerut-II,132KV S/S SARDHANA,33KV Nawla Ispat Feeder.,UPP68232,T-D,June,2024,0,2911.56,,,,
43,WEST,ETC Meerut,ETD Meerut-II,132 KV KANKARKHERA-II,33kv Bhoopgarhi bay,16197637,T-D,June,2024,0,2184.2,,,,
44,WEST,ETC Meerut,ETD Meerut-II,132 KV KANKARKHERA-II,33KV karnawal bay,16197720,T-D,June,2024,0,1918.4,,,,
45,WEST,ETC Meerut,ETD Meerut-II,132 KV KANKARKHERA-II,33KV Khewai BAY,17010036,T-D,June,2024,0,4080.8,,,,
